bug_type,mutation_type,omp_construct,bug_omp_concept,needs_review,count,notes,example_source_id,example_original_statement,example_buggy_statement
VARIANT_WRONG_ASSIGNMENT,CHANGE_ASSIGNMENT,declare_variant,variant_selector,FALSE,1,,tests/5.1/declare_variant/test_declare_variant_adjust_args.c,arr[i] = i+3; // Variant function adds 3 to array values,arr[i] = i+1; // BUG: variant function adds 1 instead of 3
WRONG_ARRAY_UPDATE,CHANGE_ASSIGNMENT,parallel,loop_body,FALSE,1,,tests/6.0/parallel/test_parallel_safesync.c,a[i] += b[i];,a[i] += b[i] + 1;
WRONG_ASSIGNMENT,CHANGE_ASSIGNMENT,fuse,general_code,FALSE,4,,tests/6.0/fuse/test_fuse_apply_looprange.c,A[2][j] = 2 * N + j + 1;,A[2][j] = 2 * N + j;
WRONG_ASSIGNMENT_SCALE,CHANGE_ASSIGNMENT,assume,general_code,FALSE,1,,tests/6.0/assume/test_assume_noopenmpconstructs.c,A[i] = 2 * (i + 1);,A[i] = 3 * (i + 1);
WRONG_FIB_COMBINE,CHANGE_ASSIGNMENT,task,general_code,FALSE,2,,tests/6.0/task/test_task_threadset_ancestor_THREADS_RESERVE.c,return (i + j);,return (i - j);
WRONG_INCREMENT,CHANGE_ASSIGNMENT,task,general_code,FALSE,4,,tests/6.0/task/test_task_transparent.c,++x;,x += 2;
WRONG_INCREMENT_AMOUNT,CHANGE_ASSIGNMENT,error,general_code,FALSE,5,,tests/5.1/error/test_error_at_execution.c,i+=5;,i+=4;
WRONG_LOOP_BODY_ASSIGNMENT,CHANGE_ASSIGNMENT,loop,loop_body,FALSE,3,,tests/5.1/loop/test_full_loop_unroll.c,parallel_arr[i] = i;,parallel_arr[i] = i + 1;
WRONG_RETURN_UPDATE,CHANGE_ASSIGNMENT,parallel,general_code,FALSE,2,,tests/6.0/parallel/test_parallel_message.c,--return_value;,++return_value;
WRONG_TIME_ASSIGNMENT,CHANGE_ASSIGNMENT,tile,loop_body,FALSE,1,,tests/5.1/tile/test_tile.c,result[i][j] = time++;,result[i][j] = ++time;
BIND_PARALLEL_TO_THREAD,CHANGE_CLAUSE,loop,bind,FALSE,1,,tests/5.0/loop/test_loop_bind.c,#pragma omp loop bind(parallel),#pragma omp loop bind(thread)
BIND_TEAMS_TO_THREAD,CHANGE_CLAUSE,loop,bind,FALSE,1,,tests/5.0/loop/test_loop_bind.c,#pragma omp loop bind(teams),#pragma omp loop bind(thread)
BIND_THREAD_TO_PARALLEL,CHANGE_CLAUSE,loop,bind,FALSE,1,,tests/5.0/loop/test_loop_bind.c,#pragma omp loop bind(thread),#pragma omp loop bind(parallel)
BIND_THREAD_TO_TEAMS,CHANGE_CLAUSE,loop,bind,FALSE,1,,tests/5.0/loop/test_loop_bind.c,#pragma omp loop bind(thread),#pragma omp loop bind(teams)
DEFAULT_FIRSTPRIVATE_TO_SHARED,CHANGE_CLAUSE,default,data_sharing,FALSE,3,,tests/5.1/default/test_default_firstprivate_parallel.c,#pragma omp parallel default(firstprivate) num_threads(OMPVV_NUM_THREADS_HOST),#pragma omp parallel default(shared) num_threads(OMPVV_NUM_THREADS_HOST)
FIRSTPRIVATE_TARGET_TO_PRIVATE,CHANGE_CLAUSE,modifiers,data_sharing,FALSE,1,,tests/6.0/modifiers/test_directive_name_modifier.c,#pragma omp target teams distribute firstprivate(target : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \
FIRSTPRIVATE_TEAMS_TO_PRIVATE,CHANGE_CLAUSE,modifiers,data_sharing,FALSE,1,,tests/6.0/modifiers/test_directive_name_modifier.c,#pragma omp target teams distribute firstprivate(teams : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \
FIRSTPRIVATE_TO_PRIVATE,CHANGE_CLAUSE,taskloop,data_sharing,FALSE,2,,tests/4.5/taskloop/test_taskloop_firstprivate.c,#pragma omp taskloop firstprivate(private_var),#pragma omp taskloop private(private_var)
LASTPRIVATE_TO_FIRSTPRIVATE,CHANGE_CLAUSE,taskloop,data_sharing,FALSE,1,,tests/4.5/taskloop/test_taskloop_lastprivate.c,#pragma omp taskloop lastprivate(val),#pragma omp taskloop firstprivate(val)
LASTPRIVATE_TO_PRIVATE,CHANGE_CLAUSE,taskloop,data_sharing,FALSE,1,,tests/4.5/taskloop/test_taskloop_lastprivate.c,#pragma omp taskloop lastprivate(val),#pragma omp taskloop private(val)
SEVERITY_WARNING_TO_FATAL,CHANGE_CLAUSE,parallel,severity,FALSE,1,,tests/6.0/parallel/test_parallel_severity.c,"#pragma omp parallel severity(warning) message(""Entering first parallel region."")","#pragma omp parallel severity(fatal) message(""Entering first parallel region."")"
