bug_type,count,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,suggested_mutation_type,suggested_omp_construct,suggested_bug_omp_concept,needs_review
VARIANT_WRONG_ASSIGNMENT,1,tests/5.1/declare_variant/test_declare_variant_adjust_args.c,declare_variant,variant_semantics,arr[i] = i+3; // Variant function adds 3 to array values,arr[i] = i+1; // BUG: variant function adds 1 instead of 3,CHANGE_ASSIGNMENT,declare_variant,variant_selector,FALSE
WRONG_ARRAY_UPDATE,1,tests/6.0/parallel/test_parallel_safesync.c,parallel,loop_body,a[i] += b[i];,a[i] += b[i] + 1;,CHANGE_ASSIGNMENT,parallel,loop_body,FALSE
WRONG_ASSIGNMENT,4,tests/6.0/fuse/test_fuse_apply_looprange.c,fuse,loop_body,A[2][j] = 2 * N + j + 1;,A[2][j] = 2 * N + j;,CHANGE_ASSIGNMENT,fuse,general_code,FALSE
WRONG_ASSIGNMENT_SCALE,1,tests/6.0/assume/test_assume_noopenmpconstructs.c,assume,loop_body,A[i] = 2 * (i + 1);,A[i] = 3 * (i + 1);,CHANGE_ASSIGNMENT,assume,general_code,FALSE
WRONG_FIB_COMBINE,2,tests/6.0/task/test_task_threadset_ancestor_THREADS_RESERVE.c,task,loop_body,return (i + j);,return (i - j);,CHANGE_ASSIGNMENT,task,general_code,FALSE
WRONG_INCREMENT,4,tests/6.0/task/test_task_transparent.c,task,loop_body,++x;,x += 2;,CHANGE_ASSIGNMENT,task,general_code,FALSE
WRONG_INCREMENT_AMOUNT,5,tests/5.1/error/test_error_at_execution.c,error,oracle_value,i+=5;,i+=4;,CHANGE_ASSIGNMENT,error,general_code,FALSE
WRONG_LOOP_BODY_ASSIGNMENT,3,tests/5.1/loop/test_full_loop_unroll.c,loop,loop_body,parallel_arr[i] = i;,parallel_arr[i] = i + 1;,CHANGE_ASSIGNMENT,loop,loop_body,FALSE
WRONG_RETURN_UPDATE,2,tests/6.0/parallel/test_parallel_message.c,parallel,loop_body,--return_value;,++return_value;,CHANGE_ASSIGNMENT,parallel,general_code,FALSE
WRONG_TIME_ASSIGNMENT,1,tests/5.1/tile/test_tile.c,tile,loop_body,result[i][j] = time++;,result[i][j] = ++time;,CHANGE_ASSIGNMENT,tile,loop_body,FALSE
BIND_PARALLEL_TO_THREAD,1,tests/5.0/loop/test_loop_bind.c,loop,loop_binding,#pragma omp loop bind(parallel),#pragma omp loop bind(thread),CHANGE_CLAUSE,loop,bind,FALSE
BIND_TEAMS_TO_THREAD,1,tests/5.0/loop/test_loop_bind.c,loop,loop_binding,#pragma omp loop bind(teams),#pragma omp loop bind(thread),CHANGE_CLAUSE,loop,bind,FALSE
BIND_THREAD_TO_PARALLEL,1,tests/5.0/loop/test_loop_bind.c,loop,loop_binding,#pragma omp loop bind(thread),#pragma omp loop bind(parallel),CHANGE_CLAUSE,loop,bind,FALSE
BIND_THREAD_TO_TEAMS,1,tests/5.0/loop/test_loop_bind.c,loop,loop_binding,#pragma omp loop bind(thread),#pragma omp loop bind(teams),CHANGE_CLAUSE,loop,bind,FALSE
DEFAULT_FIRSTPRIVATE_TO_SHARED,3,tests/5.1/default/test_default_firstprivate_parallel.c,default,data_sharing,#pragma omp parallel default(firstprivate) num_threads(OMPVV_NUM_THREADS_HOST),#pragma omp parallel default(shared) num_threads(OMPVV_NUM_THREADS_HOST),CHANGE_CLAUSE,default,data_sharing,FALSE
FIRSTPRIVATE_TARGET_TO_PRIVATE,1,tests/6.0/modifiers/test_directive_name_modifier.c,modifiers,data_sharing,#pragma omp target teams distribute firstprivate(target : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \,CHANGE_CLAUSE,modifiers,data_sharing,FALSE
FIRSTPRIVATE_TEAMS_TO_PRIVATE,1,tests/6.0/modifiers/test_directive_name_modifier.c,modifiers,data_sharing,#pragma omp target teams distribute firstprivate(teams : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \,CHANGE_CLAUSE,modifiers,data_sharing,FALSE
FIRSTPRIVATE_TO_PRIVATE,2,tests/4.5/taskloop/test_taskloop_firstprivate.c,taskloop,data_scoping,#pragma omp taskloop firstprivate(private_var),#pragma omp taskloop private(private_var),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
LASTPRIVATE_TO_FIRSTPRIVATE,1,tests/4.5/taskloop/test_taskloop_lastprivate.c,taskloop,data_scoping,#pragma omp taskloop lastprivate(val),#pragma omp taskloop firstprivate(val),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
LASTPRIVATE_TO_PRIVATE,1,tests/4.5/taskloop/test_taskloop_lastprivate.c,taskloop,data_scoping,#pragma omp taskloop lastprivate(val),#pragma omp taskloop private(val),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
SEVERITY_WARNING_TO_FATAL,1,tests/6.0/parallel/test_parallel_severity.c,parallel,parallel_clause,"#pragma omp parallel severity(warning) message(""Entering first parallel region."")","#pragma omp parallel severity(fatal) message(""Entering first parallel region."")",CHANGE_CLAUSE,parallel,severity,FALSE
SHARED_TO_PRIVATE,1,tests/4.5/taskloop/test_taskloop_shared.c,taskloop,data_sharing,#pragma omp taskloop shared(shared_var),#pragma omp taskloop private(shared_var),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
SHARE_SHARED_TO_PRIVATE,1,tests/5.0/teams/test_team_default_shared.c,teams,data_sharing,#pragma omp teams distribute default(shared) num_teams(OMPVV_NUM_TEAMS_DEVICE),#pragma omp teams distribute default(shared) private(share) num_teams(OMPVV_NUM_TEAMS_DEVICE),CHANGE_CLAUSE,teams,data_sharing,FALSE
THREADSET_POOL_TO_TEAM,2,tests/6.0/task/test_task_threadset_ancestor_THREADS_RESERVE.c,task,threadset,#pragma omp task shared(i) threadset(omp_pool),#pragma omp task shared(i) threadset(omp_team),CHANGE_CLAUSE,task,data_sharing,FALSE
WRONG_PARALLEL_VARIANT_SELECTOR,1,tests/5.1/declare_variant/test_begin_end_declare_variant.c,declare_variant,variant_selection,#pragma omp begin declare variant match(construct={parallel}),#pragma omp begin declare variant match(construct={target}),CHANGE_CLAUSE,declare_variant,variant_selector,FALSE
WRONG_TARGET_VARIANT_SELECTOR,1,tests/5.1/declare_variant/test_begin_end_declare_variant.c,declare_variant,variant_selection,#pragma omp begin declare variant match(construct={target}),#pragma omp begin declare variant match(construct={parallel}),CHANGE_CLAUSE,declare_variant,variant_selector,FALSE
CANNOT_ASSUME_FALSE_TO_TRUE,1,tests/6.0/assume/test_assume_noopenmpconstructs.c,assume,assumption,#define cannot_assume 0,#define cannot_assume 1,CHANGE_CONDITION,assume,general_code,FALSE
CAN_ASSUME_TRUE_TO_FALSE,1,tests/6.0/assume/test_assume_noopenmpconstructs.c,assume,assumption,#define can_assume 1,#define can_assume 0,CHANGE_CONDITION,assume,general_code,FALSE
FINAL_ISFINAL_TO_NOT_ISFINAL,1,tests/4.5/task/test_task_final.c,task,condition_semantics,#pragma omp task final(isFinal),#pragma omp task final(!isFinal),CHANGE_CONDITION,task,task_final,FALSE
IF0_TO_IF1,1,tests/4.5/task/test_task_ThrdPrivate.c,task,condition_semantics,#pragma omp task if(0),#pragma omp task if(1),CHANGE_CONDITION,task,task_if,FALSE
IF_TO_ZERO,1,tests/4.5/taskloop/test_taskloop_if.c,taskloop,condition_semantics,#pragma omp taskloop if(M == THRESHOLD),#pragma omp taskloop if(0),CHANGE_CONDITION,taskloop,loop,FALSE
LASTPRIVATE_CONDITIONAL_TO_LASTPRIVATE,1,tests/5.0/parallel_for/test_parallel_for_lastprivate_conditional.c,parallel_for,lastprivate_semantics,#pragma omp parallel for lastprivate(conditional: x),#pragma omp parallel for lastprivate(x),CHANGE_CONDITION,parallel_for,data_sharing,FALSE
ADD_NUM_THREADS_ONE,1,tests/6.0/parallel/test_parallel_message.c,parallel,parallel_clause,"#pragma omp parallel message(""Entering first parallel region."")","#pragma omp parallel num_threads(1) message(""Entering first parallel region."")",CHANGE_CONFIGURATION,parallel,configuration,FALSE
ALLOC_ALIGNMENT_64_TO_32,1,tests/5.0/allocate/test_allocate_allocator.c,allocate,allocator_semantics,"omp_alloctrait_t x_traits[1] = {{omp_atk_alignment, 64}};","omp_alloctrait_t x_traits[1] = {{omp_atk_alignment, 32}};",CHANGE_CONFIGURATION,allocator,allocator,FALSE
FINAL_ONE_TO_ZERO_ADVANCED,1,tests/4.5/task/test_task_final.c,task,condition_semantics,#pragma omp task final(1),#pragma omp task final(0),CHANGE_CONFIGURATION,task,general_code,FALSE
FINAL_ONE_TO_ZERO_NESTED,1,tests/4.5/task/test_task_final.c,task,condition_semantics,#pragma omp task final(1),#pragma omp task final(0),CHANGE_CONFIGURATION,task,general_code,FALSE
FINAL_TO_ZERO,1,tests/4.5/taskloop/test_taskloop_final.c,taskloop,condition_semantics,#pragma omp taskloop final(M == THRESHOLD),#pragma omp taskloop final(0),CHANGE_CONFIGURATION,taskloop,loop,FALSE
SET_NUM_TEAMS_MINUS_ONE,1,tests/5.1/runtime_calls/test_teams_region_routines.c,runtime_calls,runtime_call,omp_set_num_teams(OMPVV_NUM_TEAMS_DEVICE);,omp_set_num_teams(OMPVV_NUM_TEAMS_DEVICE - 1);,CHANGE_CONFIGURATION,teams,configuration,FALSE
SET_NUM_TEAMS_WRONG_VALUE,1,tests/5.1/teams/test_teams_set_num_teams.c,teams,runtime_call,omp_set_num_teams(8);,omp_set_num_teams(7);,CHANGE_CONFIGURATION,teams,configuration,FALSE
SET_TEAMS_THREAD_LIMIT_MINUS_ONE,1,tests/5.1/runtime_calls/test_teams_region_routines.c,runtime_calls,runtime_call,omp_set_teams_thread_limit(OMPVV_NUM_THREADS_DEVICE);,omp_set_teams_thread_limit(OMPVV_NUM_THREADS_DEVICE - 1);,CHANGE_CONFIGURATION,teams,configuration,FALSE
TILE_SIZE_3_TO_4,1,tests/5.1/tile/test_tile.c,tile,tile_clause,"#pragma omp tile sizes(3, 3)","#pragma omp tile sizes(4, 4)",CHANGE_CONFIGURATION,tile,general_code,FALSE
TILE_SIZE_4_TO_2,1,tests/5.1/tile/test_tile.c,tile,tile_clause,"#pragma omp tile sizes(4, 4)","#pragma omp tile sizes(2, 2)",CHANGE_CONFIGURATION,tile,general_code,FALSE
WRONG_FILTER_THREAD,1,tests/5.1/masked/test_masked_filter.c,masked,masked_semantics,#pragma omp masked filter(3),#pragma omp masked filter(2),CHANGE_CONFIGURATION,masked,general_code,FALSE
WRONG_NUM_TEAMS_OVERRIDE,1,tests/5.1/teams/test_teams_set_num_teams.c,teams,teams_configuration,#pragma omp teams num_teams(OMPVV_NUM_TEAMS_HOST),#pragma omp teams num_teams(1),CHANGE_CONFIGURATION,teams,configuration,FALSE
FORCE_ONE_TEAM,1,tests/5.1/runtime_calls/test_teams_region_routines.c,runtime_calls,teams_configuration,#pragma omp teams,#pragma omp teams num_teams(1),CHANGE_CONSTANT,teams,configuration,FALSE
REL_OP_NEQ_TO_LT,1,tests/5.0/parallel_for/test_parallel_for_notequals.c,parallel_for,loop_header_semantics,for (int i = 0; i != N; i++) {,for (int i = 0; i < N - 1; i++) {,CHANGE_LOOP_BOUND,parallel_for,loop_condition,FALSE
SKIP_LAST_ITER,5,tests/5.0/simd/test_simd_if.c,simd,loop_bounds,i < N,i < N-1,CHANGE_LOOP_BOUND,simd,general_code,FALSE
SKIP_LAST_ITERATION,38,tests/5.1/loop/test_full_loop_unroll.c,loop,loop_bounds,for (int i = 0; i < N; i++) {,for (int i = 0; i < N - 1; i++) {,CHANGE_LOOP_BOUND,loop,loop,FALSE
SKIP_LAST_TEAM,1,tests/5.0/teams/test_team_default_shared.c,teams,loop_bounds,for ( int i = 0; i < omp_get_num_teams(); i++){,for ( int i = 0; i < omp_get_num_teams() - 1; i++){,CHANGE_LOOP_BOUND,teams,configuration,FALSE
EXIT_DATA_FROM_TO_DELETE,1,tests/6.0/map-type_modifier/test_map-type_modifier_default.c,map-type_modifier,mapping,#pragma omp target exit data map(from: a),#pragma omp target exit data map(delete: a),CHANGE_MAPPING,target_mapping,mapping,FALSE
MAPPER_FROM_TO_TO,1,tests/5.2/declare_mapper/test_declare_mapper_present.c,declare_mapper,mapping,"#pragma omp declare mapper(default:myvec_t v) map(always, present, from: v, v.len, v.data[0:v.len])","#pragma omp declare mapper(default:myvec_t v) map(always, present, to: v, v.len, v.data[0:v.len])",CHANGE_MAPPING,declare_mapper,mapping,FALSE
MAPPER_TOFROM_TO_TO,1,tests/5.2/declare_mapper/test_declare_mapper_iterator.c,declare_mapper,mapping,"#pragma omp declare mapper(myvec_t v) map(iterator(it = 0:v.len), tofrom: v.data[it])","#pragma omp declare mapper(myvec_t v) map(iterator(it = 0:v.len), to: v.data[it])",CHANGE_MAPPING,declare_mapper,mapping,FALSE
MAP_ENTER_TO_TO_FROM,1,tests/4.5/application_kernels/linked_list.c,application_kernels,target_mapping,#pragma omp target enter data map(to:cur[:1]),#pragma omp target enter data map(from:cur[:1]),CHANGE_MAPPING,application_kernels,mapping,FALSE
