bug_family,count
loop_bounds,44
synchronization,25
loop_body,18
data_sharing,14
reduction,12
task_dependency,10
reduction_operator,9
mapping,8
atomic_compare,8
condition_semantics,7
oracle_value,6
env_query,6
loop_binding,4
ordered_doacross,4
data_scoping,3
masked_semantics,3
runtime_call,3
parallel,3
assumption,2
variant_selection,2
transparent,2
parallel_clause,2
parallel_directive,2
target_mapping,2
tile_clause,2
threadset,2
runtime_query,2
teams_configuration,2
allocator_semantics,1
directive_semantics,1
loop_header_semantics,1
lastprivate_semantics,1
dispatch,1
reduction_semantics,1
scan,1
task_semantics,1
task_sync,1
variant_arguments,1
variant_semantics,1
