bug_family,mutation_type,count
loop_bounds,CHANGE_LOOP_BOUND,44
loop_body,CHANGE_ASSIGNMENT,18
synchronization,REMOVE_SYNCHRONIZATION,18
reduction,REMOVE_CLAUSE,10
reduction_operator,CHANGE_OPERATOR,9
data_sharing,CHANGE_CLAUSE,8
atomic_compare,CHANGE_OPERATOR,8
synchronization,REMOVE_CONSTRUCT,6
mapping,CHANGE_MAPPING,6
task_dependency,REMOVE_DEPENDENCY,6
oracle_value,CHANGE_ASSIGNMENT,5
data_sharing,REMOVE_CLAUSE,5
task_dependency,REMOVE_CONSTRUCT,4
env_query,ORACLE_MUTATION,4
loop_binding,CHANGE_CLAUSE,4
ordered_doacross,REMOVE_DEPENDENCY,4
condition_semantics,CHANGE_CONFIGURATION,3
condition_semantics,CHANGE_CONDITION,3
data_scoping,CHANGE_CLAUSE,3
runtime_call,CHANGE_CONFIGURATION,3
parallel,REMOVE_CONSTRUCT,3
mapping,REMOVE_CONSTRUCT,2
env_query,CHANGE_RUNTIME_CALL,2
transparent,REMOVE_CLAUSE,2
assumption,CHANGE_CONDITION,2
variant_selection,CHANGE_CLAUSE,2
target_mapping,CHANGE_MAPPING,2
tile_clause,CHANGE_CONFIGURATION,2
threadset,CHANGE_CLAUSE,2
runtime_query,CHANGE_RUNTIME_CALL,2
parallel_directive,REMOVE_CONSTRUCT,2
allocator_semantics,CHANGE_CONFIGURATION,1
masked_semantics,CHANGE_CONFIGURATION,1
loop_header_semantics,CHANGE_LOOP_BOUND,1
lastprivate_semantics,CHANGE_CONDITION,1
directive_semantics,REMOVE_CLAUSE,1
data_sharing,REMOVE_CONSTRUCT,1
dispatch,REMOVE_CONSTRUCT,1
condition_semantics,CHANGE_OPERATOR,1
masked_semantics,REMOVE_CLAUSE,1
reduction_semantics,CHANGE_OPERATOR,1
reduction,REMOVE_CONSTRUCT,1
reduction,REMOVE_DEPENDENCY,1
oracle_value,ORACLE_MUTATION,1
masked_semantics,REMOVE_CONSTRUCT,1
parallel_clause,CHANGE_CLAUSE,1
parallel_clause,CHANGE_CONFIGURATION,1
scan,CHANGE_SCAN,1
task_sync,REMOVE_CONSTRUCT,1
synchronization,REMOVE_STATEMENT,1
task_semantics,REMOVE_CLAUSE,1
teams_configuration,CHANGE_CONFIGURATION,1
teams_configuration,CHANGE_CONSTANT,1
variant_arguments,REMOVE_CLAUSE,1
variant_semantics,CHANGE_ASSIGNMENT,1
