bug_type,count
SKIP_LAST_ITERATION,38
REMOVE_REDUCTION,10
REMOVE_SINGLE,6
SKIP_LAST_ITER,5
WRONG_INCREMENT_AMOUNT,5
WRONG_ASSIGNMENT,4
WRONG_INCREMENT,4
COMPARE_WRITE_WRONG_VALUE,4
REMOVE_DEPEND,3
COMPARE_EQ_TO_NEQ,3
DEFAULT_FIRSTPRIVATE_TO_SHARED,3
REMOVE_PARALLEL,3
REMOVE_ATOMIC,3
REMOVE_ATOMIC_UPDATE,3
WRONG_LOOP_BODY_ASSIGNMENT,3
REMOVE_DOACROSS_SINK,2
THREADSET_POOL_TO_TEAM,2
WRONG_ENV_VAR_NAME,2
REMOVE_TASKWAIT,2
WRONG_EXPECTED_OMP_PLACES,2
REMOVE_DOACROSS_SOURCE,2
REMOVE_TRANSPARENT_CLAUSE,2
FIRSTPRIVATE_TO_PRIVATE,2
REMOVE_ATOMIC_DECREMENT,2
REMOVE_DEFAULT_FIRSTPRIVATE,2
WRONG_RUNTIME_QUERY,2
WRONG_FIB_COMBINE,2
WRONG_RETURN_UPDATE,2
IF_TO_ZERO,1
IF0_TO_IF1,1
FORCE_ONE_TEAM,1
FIRSTPRIVATE_TEAMS_TO_PRIVATE,1
IF_INVERT,1
LASTPRIVATE_TO_PRIVATE,1
LASTPRIVATE_TO_FIRSTPRIVATE,1
MAP_EXIT_FROM_TO_TO_HEAD,1
MAX_TO_MIN,1
MIN_TO_MAX,1
LOGICAL_AND_TO_OR,1
LOGICAL_OR_TO_AND,1
LASTPRIVATE_CONDITIONAL_TO_LASTPRIVATE,1
BIND_THREAD_TO_TEAMS,1
BIND_THREAD_TO_PARALLEL,1
CAN_ASSUME_TRUE_TO_FALSE,1
CANNOT_ASSUME_FALSE_TO_TRUE,1
BITXOR_TO_BITOR,1
BITOR_TO_BITAND,1
EXIT_DATA_FROM_TO_DELETE,1
FINAL_ISFINAL_TO_NOT_ISFINAL,1
FINAL_ONE_TO_ZERO_ADVANCED,1
COMPARE_GREATER_TO_LESS,1
FINAL_ONE_TO_ZERO_NESTED,1
FINAL_TO_ZERO,1
FIRSTPRIVATE_TARGET_TO_PRIVATE,1
BITAND_TO_BITOR,1
BIND_TEAMS_TO_THREAD,1
ADD_NUM_THREADS_ONE,1
ALLOC_ALIGNMENT_64_TO_32,1
BIND_PARALLEL_TO_THREAD,1
REMOVE_DETACH,1
REMOVE_DEPEND_OUT_Y,1
REMOVE_DEPEND_IN_C,1
REMOVE_DEPEND_INOUT,1
REMOVE_ATOMIC_UNUSED_ENUM,1
REMOVE_ATOMIC_COMPARE,1
REMOVE_ATOMIC_CONTENDED_NONSPEC,1
REMOVE_ATOMIC_RELEASE,1
REMOVE_ADJUST_ARGS,1
REMOVE_ALWAYS_MODIFIER,1
REMOVE_ATOMIC_CAPTURE,1
PARALLEL_MASTER_TASKLOOP_SIMD_TO_PARALLEL_TASKLOOP_SIMD,1
PLUS_TO_MULTIPLY,1
PLUS_TO_MULTIPLY_MULTI,1
REDUCTION_PLUS_TO_MULTIPLY,1
REL_OP_NEQ_TO_LT,1
MAP_ENTER_TO_TO_FROM,1
MAPPER_TOFROM_TO_TO,1
MAPPER_FROM_TO_TO,1
REMOVE_TARGET,1
REMOVE_SHARED_SUM,1
REMOVE_SCOPE_REDUCTION,1
REMOVE_PRIVATE_FROM_SCOPE_ALLOCATE,1
REMOVE_FIRSTPRIVATE,1
REMOVE_MASKED,1
REMOVE_LOCK_COUNTPRIME,1
REMOVE_PARALLEL_SEVERITY_REGION,1
REMOVE_PARALLEL_MESSAGE_REGION,1
REMOVE_PRIVATE,1
REMOVE_IN_REDUCTION,1
REMOVE_DISPATCH,1
REMOVE_FILTER,1
SET_NUM_TEAMS_WRONG_VALUE,1
SET_NUM_TEAMS_MINUS_ONE,1
RETURN_VALUE_0_TO_1,1
REMOVE_TRANSPARENT_TASK,1
REMOVE_TASK_DEPEND_Y,1
REMOVE_TASK_DEPEND_X,1
REMOVE_TASK_DEPEND_SCALAR,1
REMOVE_TASK_DEPEND_ARRAY,1
REMOVE_TARGET_ENTER_DATA,1
REMOVE_TASKWAIT_NOWAIT_DEPEND,1
REMOVE_TASKWAIT_DEPEND_XY,1
REMOVE_TASKWAIT_DEPEND_X,1
SHARE_SHARED_TO_PRIVATE,1
SHARED_TO_PRIVATE,1
SET_TEAMS_THREAD_LIMIT_MINUS_ONE,1
SEVERITY_WARNING_TO_FATAL,1
WRONG_ASSIGNMENT_SCALE,1
WRONG_ARRAY_UPDATE,1
VARIANT_WRONG_ASSIGNMENT,1
TILE_SIZE_4_TO_2,1
TARGET_MAP_TOFROM_TO_TO,1
TILE_SIZE_3_TO_4,1
SKIP_LAST_TEAM,1
TARGET_MAP_FROM_TO_TO,1
WRONG_FILTER_THREAD,1
WRONG_EXPECTED_TEAMS_THREAD_LIMIT,1
WRONG_EXPECTED_MAX_TEAMS,1
WRONG_NUM_TEAMS_OVERRIDE,1
WRONG_PARALLEL_VARIANT_SELECTOR,1
WRONG_SCAN_UPDATE,1
WRONG_TARGET_VARIANT_SELECTOR,1
WRONG_TIME_ASSIGNMENT,1
