omp_construct,bug_omp_concept,count
loop,loop,38
error,general_code,11
taskloop,reduction,10
teams,configuration,9
atomic,general_code,8
task,general_code,8
taskwait,dependency,7
loop,reduction_operator,7
default,data_sharing,6
atomic,atomic,6
task,dependency,6
simd,general_code,5
task,data_sharing,5
taskloop,data_sharing,5
fuse,general_code,4
loop,bind,4
declare_mapper,mapping,4
ordered,dependency,4
runtime_api,runtime_api,4
taskloop,loop,3
masked,general_code,3
loop,loop_body,3
assume,general_code,3
application_kernels,atomic,3
parallel_master_taskloop,general_code,3
scope,data_sharing,3
declare_variant,variant_selector,3
loop,reduction,2
masked,atomic,2
parallel,atomic,2
application_kernels,mapping,2
declare_variant,dispatch,2
task,taskwait,2
parallel,general_code,2
parallel,message_or_severity,2
modifiers,data_sharing,2
tile,general_code,2
parallel,configuration,1
depend,dependency,1
metadirective,mapping,1
application_kernels,reduction,1
allocator,allocator,1
declare_mapper,general_code,1
declare_variant,mapping,1
target_mapping,mapping,1
scope,reduction,1
runtime_api,general_code,1
scan,scan,1
parallel,severity,1
parallel_for,data_sharing,1
parallel_for,loop_condition,1
parallel_master_taskloop_simd,master,1
parallel,loop_body,1
task,task_if,1
task,reduction,1
task,runtime_api,1
task,task_final,1
teams,data_sharing,1
teams,general_code,1
tile,loop_body,1
