openmp_version,mutation_type,count
5.1,CHANGE_LOOP_BOUND,28
6.0,CHANGE_ASSIGNMENT,14
5.1,REMOVE_CONSTRUCT,12
5.1,CHANGE_ASSIGNMENT,10
5.0,REMOVE_CLAUSE,9
5.0,CHANGE_OPERATOR,9
5.0,CHANGE_LOOP_BOUND,8
5.1,CHANGE_OPERATOR,8
5.1,REMOVE_CLAUSE,7
5.1,CHANGE_CONFIGURATION,7
6.0,CHANGE_LOOP_BOUND,7
6.0,REMOVE_SYNCHRONIZATION,6
5.0,REMOVE_CONSTRUCT,6
5.0,CHANGE_CLAUSE,5
5.0,REMOVE_SYNCHRONIZATION,5
6.0,CHANGE_CLAUSE,5
5.1,ORACLE_MUTATION,5
5.1,CHANGE_CLAUSE,5
4.5,CHANGE_CLAUSE,4
5.2,REMOVE_DEPENDENCY,4
5.1,CHANGE_RUNTIME_CALL,4
5.1,REMOVE_SYNCHRONIZATION,4
6.0,REMOVE_CLAUSE,3
4.5,CHANGE_CONFIGURATION,3
4.5,CHANGE_CONDITION,3
6.0,REMOVE_DEPENDENCY,3
5.0,REMOVE_DEPENDENCY,3
5.2,CHANGE_MAPPING,3
4.5,REMOVE_SYNCHRONIZATION,3
4.5,CHANGE_MAPPING,2
4.5,CHANGE_OPERATOR,2
6.0,REMOVE_CONSTRUCT,2
5.2,CHANGE_LOOP_BOUND,2
5.2,REMOVE_CLAUSE,2
5.2,REMOVE_CONSTRUCT,2
6.0,CHANGE_CONDITION,2
4.5,REMOVE_STATEMENT,1
5.0,CHANGE_CONDITION,1
5.0,CHANGE_CONFIGURATION,1
5.0,CHANGE_SCAN,1
5.0,CHANGE_MAPPING,1
5.1,CHANGE_CONSTANT,1
5.1,CHANGE_MAPPING,1
5.1,REMOVE_DEPENDENCY,1
5.2,CHANGE_CLAUSE,1
6.0,CHANGE_MAPPING,1
6.0,CHANGE_CONFIGURATION,1
