source_dir,count
tests/6.0/task,17
tests/5.0/loop,13
tests/5.1/error,10
tests/5.1/atomic,9
tests/6.0/parallel,9
tests/4.5/taskloop,9
tests/5.1/env_var,8
tests/5.1/assume,8
tests/5.2/declare_mapper,7
tests/5.1/declare_variant,6
tests/5.0/task,6
tests/5.1/default,6
tests/5.1/loop,6
tests/5.1/scope,6
tests/4.5/task,5
tests/5.1/order,5
tests/5.1/masked,5
tests/5.1/allocate,5
tests/6.0/assume,4
tests/6.0/modifiers,4
tests/5.2/ordered,4
tests/5.1/taskloop,4
tests/5.1/runtime_calls,4
tests/6.0/taskgraph,4
tests/5.1/tile,4
tests/4.5/application_kernels,4
tests/6.0/fuse,4
tests/5.1/taskwait,4
tests/5.0/taskloop_simd,4
tests/5.0/taskwait,4
tests/5.0/simd,3
tests/5.0/teams,3
tests/5.2/scope,3
tests/5.0/taskloop,3
tests/5.0/atomic,2
tests/5.1/teams,2
tests/6.0/map-type_modifier,2
tests/5.0/parallel_master_taskloop,2
tests/5.0/parallel_for,2
tests/5.0/parallel_master_taskloop_simd,1
tests/5.0/scan,1
tests/5.0/parallel_for_simd,1
tests/5.0/parallel_master,1
tests/5.0/allocate,1
tests/5.0/metadirective,1
tests/5.1/depend,1
tests/5.0/taskgroup,1
