bug_family,mutation_type,num_rows
allocator_semantics,CHANGE_CONFIGURATION,1
atomic_compare,CHANGE_OPERATOR,8
condition,CHANGE_OPERATOR,6
condition,CHANGE_CONSTANT,1
condition,CHANGE_MAPPING,1
condition_semantics,CHANGE_CONDITION,3
condition_semantics,CHANGE_CONFIGURATION,3
condition_semantics,CHANGE_OPERATOR,1
configuration,CHANGE_CONFIGURATION,5
data_scoping,CHANGE_CLAUSE,3
data_sharing,REMOVE_CLAUSE,9
data_sharing,CHANGE_CLAUSE,8
data_sharing,CHANGE_MAPPING,1
data_sharing,REMOVE_CONSTRUCT,1
declare_target,REMOVE_CONSTRUCT,3
dependency,REMOVE_DEPENDENCY,1
directive_semantics,REMOVE_CLAUSE,1
dispatch,REMOVE_CONSTRUCT,1
lastprivate_semantics,CHANGE_CONDITION,1
linear,CHANGE_CONSTANT,1
linear,REMOVE_CONSTRUCT,1
loop_bind,CHANGE_CLAUSE,3
loop_binding,CHANGE_CLAUSE,4
loop_body,CHANGE_CONSTANT,30
loop_body,CHANGE_CONFIGURATION,25
loop_body,CHANGE_OPERATOR,25
loop_body,CHANGE_ASSIGNMENT,7
loop_bounds,CHANGE_LOOP_BOUND,35
loop_collapse,CHANGE_CONSTANT,1
loop_construct,REMOVE_CONSTRUCT,1
loop_header_semantics,CHANGE_LOOP_BOUND,1
mapping,CHANGE_MAPPING,19
masked_semantics,CHANGE_CONFIGURATION,1
masked_semantics,REMOVE_CLAUSE,1
masked_semantics,REMOVE_CONSTRUCT,1
memory_initialization,CHANGE_CONFIGURATION,1
oracle_sensitive_body,CHANGE_MAPPING,1
oracle_value,CHANGE_ASSIGNMENT,5
ordered_doacross,REMOVE_DEPENDENCY,4
parallel_master,CHANGE_CLAUSE,1
reduction,REMOVE_CLAUSE,24
reduction,REMOVE_DEPENDENCY,7
reduction,REMOVE_CONSTRUCT,1
reduction_operator,CHANGE_OPERATOR,9
reduction_semantics,CHANGE_OPERATOR,1
requires,REMOVE_CONSTRUCT,4
runtime_api,CHANGE_CONFIGURATION,11
runtime_api,CHANGE_VARIABLE,1
runtime_call,CHANGE_CONFIGURATION,3
schedule,REMOVE_STATEMENT,1
synchronization,REMOVE_SYNCHRONIZATION,23
synchronization,REMOVE_CONSTRUCT,7
synchronization,REMOVE_STATEMENT,1
target_configuration,CHANGE_CONFIGURATION,1
target_mapping,CHANGE_MAPPING,92
target_mapping,REMOVE_CONSTRUCT,11
target_update,CHANGE_MAPPING,10
task_dependency,REMOVE_CONSTRUCT,4
task_dependency,REMOVE_DEPENDENCY,3
task_dependency,REMOVE_SYNCHRONIZATION,1
task_semantics,REMOVE_CONSTRUCT,1
task_sync,REMOVE_CONSTRUCT,1
taskloop,REMOVE_CLAUSE,1
teams_configuration,CHANGE_CONFIGURATION,1
teams_configuration,CHANGE_CONSTANT,1
variant_semantics,CHANGE_ASSIGNMENT,2
