category,mutation_type,num_rows
allocate,CHANGE_LOOP_BOUND,5
allocate,CHANGE_CONFIGURATION,2
allocate,CHANGE_MAPPING,1
application_kernels,CHANGE_MAPPING,7
application_kernels,CHANGE_CONFIGURATION,1
application_kernels,CHANGE_CONSTANT,1
application_kernels,CHANGE_OPERATOR,1
application_kernels,REMOVE_SYNCHRONIZATION,1
assume,CHANGE_LOOP_BOUND,8
assume,CHANGE_MAPPING,8
atomic,CHANGE_OPERATOR,9
atomic,REMOVE_SYNCHRONIZATION,5
atomic,CHANGE_CONFIGURATION,2
declare_target,CHANGE_MAPPING,15
declare_target,REMOVE_CONSTRUCT,3
declare_target,CHANGE_CONSTANT,2
declare_target,CHANGE_CONFIGURATION,1
declare_target,CHANGE_OPERATOR,1
declare_variant,CHANGE_MAPPING,1
default,CHANGE_CLAUSE,4
default,REMOVE_CLAUSE,2
default,CHANGE_MAPPING,1
default,REMOVE_CONSTRUCT,1
depend,REMOVE_CONSTRUCT,2
depend,REMOVE_DEPENDENCY,2
dispatch,CHANGE_ASSIGNMENT,2
dispatch,REMOVE_CONSTRUCT,1
dispatch,REMOVE_SYNCHRONIZATION,1
error,CHANGE_ASSIGNMENT,5
error,REMOVE_CONSTRUCT,5
fuse,CHANGE_ASSIGNMENT,2
fuse,CHANGE_LOOP_BOUND,2
loop,CHANGE_CLAUSE,6
loop,REMOVE_CLAUSE,6
loop,CHANGE_ASSIGNMENT,3
loop,CHANGE_LOOP_BOUND,3
loop,CHANGE_OPERATOR,3
loop,CHANGE_CONSTANT,1
loop,CHANGE_MAPPING,1
loop,REMOVE_CONSTRUCT,1
loop_reduction,CHANGE_OPERATOR,9
masked,REMOVE_SYNCHRONIZATION,2
masked,CHANGE_CONFIGURATION,1
masked,REMOVE_CLAUSE,1
masked,REMOVE_CONSTRUCT,1
master_taskloop,CHANGE_MAPPING,1
master_taskloop_simd,CHANGE_MAPPING,1
memory_routines,CHANGE_MAPPING,1
metadirective,CHANGE_MAPPING,2
offloading_success.c,CHANGE_MAPPING,1
order,CHANGE_LOOP_BOUND,5
order,CHANGE_MAPPING,4
order,CHANGE_ASSIGNMENT,2
order,REMOVE_CONSTRUCT,1
ordered,REMOVE_DEPENDENCY,4
parallel_for,CHANGE_CONDITION,1
parallel_for,CHANGE_LOOP_BOUND,1
parallel_for_simd,REMOVE_SYNCHRONIZATION,1
parallel_master,CHANGE_CLAUSE,1
parallel_master_taskloop_simd,REMOVE_CLAUSE,2
program_control,CHANGE_MAPPING,2
program_control,CHANGE_CONFIGURATION,1
requires,CHANGE_CONFIGURATION,4
requires,REMOVE_CONSTRUCT,4
requires,CHANGE_OPERATOR,1
runtime_calls,CHANGE_CONFIGURATION,2
runtime_calls,CHANGE_CONSTANT,1
runtime_calls,REMOVE_CONSTRUCT,1
scope,CHANGE_LOOP_BOUND,3
scope,REMOVE_CLAUSE,2
scope,REMOVE_CONSTRUCT,2
scope,CHANGE_CLAUSE,1
scope,CHANGE_MAPPING,1
scope,REMOVE_SYNCHRONIZATION,1
target,CHANGE_MAPPING,21
target,CHANGE_CONFIGURATION,11
target,CHANGE_CONSTANT,11
target,CHANGE_OPERATOR,6
target,REMOVE_CONSTRUCT,5
target,REMOVE_CLAUSE,3
target,CHANGE_LOOP_BOUND,1
target,CHANGE_VARIABLE,1
target,REMOVE_DEPENDENCY,1
target,REMOVE_SYNCHRONIZATION,1
target_data,CHANGE_MAPPING,12
target_data,REMOVE_CONSTRUCT,5
target_data,CHANGE_CONSTANT,3
target_data,CHANGE_OPERATOR,2
target_data,CHANGE_CONFIGURATION,1
target_enter_data,CHANGE_MAPPING,11
target_enter_data,CHANGE_CONFIGURATION,3
target_enter_exit_data,CHANGE_MAPPING,6
target_enter_exit_data,CHANGE_CONFIGURATION,2
target_enter_exit_data,CHANGE_OPERATOR,1
target_enter_exit_data,REMOVE_CONSTRUCT,1
target_parallel_loop,CHANGE_MAPPING,2
target_parallel_loop,CHANGE_CLAUSE,1
target_parallel_loop,CHANGE_CONFIGURATION,1
target_parallel_loop,CHANGE_CONSTANT,1
target_requires,REMOVE_SYNCHRONIZATION,1
target_simd,CHANGE_MAPPING,2
target_simd,CHANGE_CONSTANT,1
target_simd,CHANGE_OPERATOR,1
target_teams_distribute,REMOVE_CLAUSE,16
target_teams_distribute,CHANGE_OPERATOR,13
target_teams_distribute,CHANGE_CONFIGURATION,7
target_teams_distribute,CHANGE_MAPPING,5
target_teams_distribute,REMOVE_SYNCHRONIZATION,3
target_teams_distribute,CHANGE_CONSTANT,2
target_teams_distribute,REMOVE_STATEMENT,1
target_teams_distribute_parallel_for,CHANGE_CONSTANT,9
target_teams_distribute_parallel_for,CHANGE_MAPPING,9
target_teams_distribute_parallel_for,CHANGE_CONFIGURATION,6
target_teams_distribute_parallel_for,REMOVE_CLAUSE,1
target_teams_distribute_parallel_for_simd,CHANGE_MAPPING,1
target_teams_distribute_parallel_for_simd,REMOVE_SYNCHRONIZATION,1
target_update,CHANGE_MAPPING,3
target_update,CHANGE_CONSTANT,2
task,REMOVE_DEPENDENCY,5
task,CHANGE_CONFIGURATION,3
task,CHANGE_CONDITION,2
task,REMOVE_CONSTRUCT,2
task,CHANGE_MAPPING,1
task,REMOVE_STATEMENT,1
task,REMOVE_SYNCHRONIZATION,1
taskgraph,CHANGE_LOOP_BOUND,4
taskgraph,REMOVE_SYNCHRONIZATION,1
taskgroup,CHANGE_OPERATOR,1
taskgroup,REMOVE_DEPENDENCY,1
taskloop,CHANGE_CLAUSE,5
taskloop,REMOVE_SYNCHRONIZATION,3
taskloop,CHANGE_LOOP_BOUND,2
taskloop,REMOVE_CLAUSE,2
taskloop,CHANGE_CONDITION,1
taskloop,CHANGE_CONFIGURATION,1
taskloop,CHANGE_OPERATOR,1
taskloop,REMOVE_DEPENDENCY,1
taskloop_simd,REMOVE_DEPENDENCY,1
taskwait,REMOVE_CONSTRUCT,2
taskwait,REMOVE_SYNCHRONIZATION,2
teams,CHANGE_CONFIGURATION,3
teams,CHANGE_LOOP_BOUND,2
teams,CHANGE_CLAUSE,1
teams_loop,CHANGE_MAPPING,4
teams_loop,CHANGE_OPERATOR,1
teams_loop,REMOVE_CLAUSE,1
