category,mutation_type,num_rows
allocate,CHANGE_LOOP_BOUND,5
allocate,CHANGE_CONFIGURATION,2
allocate,CHANGE_MAPPING,1
application_kernels,CHANGE_MAPPING,7
application_kernels,CHANGE_ASSIGNMENT,1
application_kernels,CHANGE_CONFIGURATION,1
application_kernels,CHANGE_CONSTANT,1
application_kernels,CHANGE_OPERATOR,1
application_kernels,REMOVE_SYNCHRONIZATION,1
assume,CHANGE_LOOP_BOUND,8
assume,CHANGE_MAPPING,8
atomic,CHANGE_OPERATOR,9
atomic,REMOVE_SYNCHRONIZATION,5
atomic,CHANGE_CONFIGURATION,2
atomic,CHANGE_ASSIGNMENT,1
declare_target,CHANGE_MAPPING,15
declare_target,CHANGE_CONSTANT,8
declare_target,CHANGE_ASSIGNMENT,4
declare_target,REMOVE_CONSTRUCT,3
declare_target,CHANGE_CONFIGURATION,1
declare_target,CHANGE_OPERATOR,1
declare_variant,CHANGE_CONDITION,2
declare_variant,CHANGE_MAPPING,1
default,CHANGE_CLAUSE,4
default,REMOVE_CLAUSE,2
default,CHANGE_MAPPING,1
default,REMOVE_CONSTRUCT,1
depend,REMOVE_DEPENDENCY,3
depend,REMOVE_CONSTRUCT,2
depend,CHANGE_ASSIGNMENT,1
dispatch,CHANGE_ASSIGNMENT,2
dispatch,REMOVE_CONSTRUCT,1
dispatch,REMOVE_SYNCHRONIZATION,1
error,CHANGE_ASSIGNMENT,5
error,REMOVE_CONSTRUCT,5
fuse,CHANGE_ASSIGNMENT,2
fuse,CHANGE_LOOP_BOUND,2
loop,CHANGE_ASSIGNMENT,13
loop,CHANGE_OPERATOR,8
loop,CHANGE_CLAUSE,6
loop,REMOVE_CLAUSE,6
loop,CHANGE_LOOP_BOUND,3
loop,CHANGE_CONSTANT,1
loop,CHANGE_MAPPING,1
loop,CHANGE_VARIABLE,1
loop,REMOVE_CONSTRUCT,1
loop_reduction,CHANGE_OPERATOR,9
masked,REMOVE_SYNCHRONIZATION,2
masked,CHANGE_CONFIGURATION,1
masked,REMOVE_CLAUSE,1
masked,REMOVE_CONSTRUCT,1
master_taskloop,REMOVE_CONSTRUCT,2
master_taskloop,CHANGE_ASSIGNMENT,1
master_taskloop,CHANGE_MAPPING,1
master_taskloop_simd,REMOVE_CONSTRUCT,2
master_taskloop_simd,CHANGE_ASSIGNMENT,1
master_taskloop_simd,CHANGE_MAPPING,1
memory_routines,CHANGE_MAPPING,1
metadirective,CHANGE_ASSIGNMENT,4
metadirective,CHANGE_MAPPING,2
offloading_success.c,CHANGE_MAPPING,1
offloading_success.c,CHANGE_RUNTIME_CALL,1
order,CHANGE_LOOP_BOUND,5
order,CHANGE_ASSIGNMENT,4
order,CHANGE_MAPPING,4
order,REMOVE_CONSTRUCT,1
ordered,REMOVE_DEPENDENCY,4
parallel_for,CHANGE_CONDITION,1
parallel_for,CHANGE_LOOP_BOUND,1
parallel_for_simd,REMOVE_SYNCHRONIZATION,1
parallel_master,CHANGE_ASSIGNMENT,1
parallel_master,CHANGE_CLAUSE,1
parallel_master_taskloop,CHANGE_ASSIGNMENT,1
parallel_master_taskloop,REMOVE_CONSTRUCT,1
parallel_master_taskloop_simd,REMOVE_CLAUSE,2
parallel_master_taskloop_simd,CHANGE_ASSIGNMENT,1
program_control,CHANGE_MAPPING,2
program_control,CHANGE_ASSIGNMENT,1
program_control,CHANGE_CONFIGURATION,1
program_control,CHANGE_CONSTANT,1
program_control,CHANGE_RUNTIME_CALL,1
requires,CHANGE_CONFIGURATION,4
requires,CHANGE_CONSTANT,4
requires,REMOVE_CONSTRUCT,4
requires,CHANGE_OPERATOR,1
runtime_calls,CHANGE_CONFIGURATION,2
runtime_calls,CHANGE_RUNTIME_CALL,2
runtime_calls,CHANGE_CONSTANT,1
runtime_calls,REMOVE_CONSTRUCT,1
scope,CHANGE_LOOP_BOUND,3
scope,REMOVE_CLAUSE,2
scope,REMOVE_CONSTRUCT,2
scope,CHANGE_CLAUSE,1
scope,CHANGE_MAPPING,1
scope,REMOVE_SYNCHRONIZATION,1
target,CHANGE_MAPPING,23
target,CHANGE_CONSTANT,19
target,CHANGE_ASSIGNMENT,15
target,CHANGE_CONFIGURATION,11
target,CHANGE_OPERATOR,6
target,REMOVE_CONSTRUCT,5
target,REMOVE_CLAUSE,3
target,CHANGE_CONDITION,2
target,CHANGE_LOOP_BOUND,2
target,CHANGE_RUNTIME_CALL,1
target,CHANGE_VARIABLE,1
target,REMOVE_DEPENDENCY,1
target,REMOVE_SYNCHRONIZATION,1
target_data,CHANGE_MAPPING,12
target_data,REMOVE_CONSTRUCT,5
target_data,CHANGE_CONSTANT,4
target_data,CHANGE_OPERATOR,2
target_data,CHANGE_ASSIGNMENT,1
target_data,CHANGE_CONDITION,1
target_data,CHANGE_CONFIGURATION,1
target_data,CHANGE_RUNTIME_CALL,1
target_data,CHANGE_VARIABLE,1
target_enter_data,CHANGE_MAPPING,11
target_enter_data,CHANGE_CONFIGURATION,3
target_enter_data,CHANGE_ASSIGNMENT,2
target_enter_data,CHANGE_CONSTANT,1
target_enter_exit_data,CHANGE_MAPPING,6
target_enter_exit_data,CHANGE_ASSIGNMENT,3
target_enter_exit_data,CHANGE_CONFIGURATION,2
target_enter_exit_data,CHANGE_CONDITION,1
target_enter_exit_data,CHANGE_OPERATOR,1
target_enter_exit_data,REMOVE_CONSTRUCT,1
target_parallel_loop,CHANGE_ASSIGNMENT,6
target_parallel_loop,CHANGE_MAPPING,2
target_parallel_loop,CHANGE_OPERATOR,2
target_parallel_loop,CHANGE_CLAUSE,1
target_parallel_loop,CHANGE_CONFIGURATION,1
target_parallel_loop,CHANGE_CONSTANT,1
target_requires,CHANGE_CLAUSE,2
target_requires,CHANGE_CONSTANT,2
target_requires,REMOVE_SYNCHRONIZATION,1
target_simd,CHANGE_ASSIGNMENT,11
target_simd,CHANGE_MAPPING,2
target_simd,CHANGE_CONSTANT,1
target_simd,CHANGE_OPERATOR,1
target_simd,CHANGE_VARIABLE,1
target_teams_distribute,CHANGE_OPERATOR,23
target_teams_distribute,CHANGE_ASSIGNMENT,22
target_teams_distribute,REMOVE_CLAUSE,16
target_teams_distribute,CHANGE_CONFIGURATION,7
target_teams_distribute,CHANGE_MAPPING,5
target_teams_distribute,CHANGE_CONSTANT,3
target_teams_distribute,REMOVE_SYNCHRONIZATION,3
target_teams_distribute,CHANGE_CONDITION,1
target_teams_distribute,CHANGE_VARIABLE,1
target_teams_distribute,REMOVE_STATEMENT,1
target_teams_distribute_parallel_for,CHANGE_CONSTANT,10
target_teams_distribute_parallel_for,CHANGE_MAPPING,9
target_teams_distribute_parallel_for,CHANGE_ASSIGNMENT,8
target_teams_distribute_parallel_for,CHANGE_CONFIGURATION,7
target_teams_distribute_parallel_for,CHANGE_CLAUSE,2
target_teams_distribute_parallel_for,CHANGE_CONDITION,1
target_teams_distribute_parallel_for,CHANGE_RUNTIME_CALL,1
target_teams_distribute_parallel_for,CHANGE_VARIABLE,1
target_teams_distribute_parallel_for,REMOVE_CLAUSE,1
target_teams_distribute_parallel_for_simd,CHANGE_CONSTANT,1
target_teams_distribute_parallel_for_simd,CHANGE_MAPPING,1
target_teams_distribute_parallel_for_simd,REMOVE_SYNCHRONIZATION,1
target_update,CHANGE_ASSIGNMENT,5
target_update,CHANGE_MAPPING,5
