source_id,num_bugs,num_mutation_types,categories,mutation_types
tests/4.5/application_kernels/reduction_separated_directives.c,4,3,application_kernels,"CHANGE_MAPPING, CHANGE_OPERATOR, REMOVE_SYNCHRONIZATION"
tests/5.0/loop/test_loop_bind.c,4,1,loop,CHANGE_CLAUSE
tests/5.0/taskwait/test_taskwait_depend.c,4,2,taskwait,"REMOVE_CONSTRUCT, REMOVE_SYNCHRONIZATION"
tests/4.5/target_simd/test_target_simd.c,3,2,target_simd,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/4.5/target_simd/test_nested_target_simd.c,3,2,target_simd,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/4.5/target_enter_exit_data/test_target_enter_exit_data_struct.c,3,2,target_enter_exit_data,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/4.5/target_data/test_target_data_map_to.c,3,2,target_data,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/4.5/target_data/test_target_data_map_tofrom.c,3,2,target_data,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/5.1/scope/test_scope_construct.c,3,3,scope,"CHANGE_LOOP_BOUND, CHANGE_MAPPING, REMOVE_SYNCHRONIZATION"
tests/4.5/target_data/test_target_data_if.c,3,3,target_data,"CHANGE_CONDITION, CHANGE_MAPPING, CHANGE_OPERATOR"
tests/4.5/target_data/test_target_data_map_from.c,3,2,target_data,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target/test_target_map_struct_default.c,3,2,target,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target/test_target_map_zero_length_pointer.c,3,2,target,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/4.5/target_enter_exit_data/test_target_enter_exit_data_map_pointer_translation.c,3,2,target_enter_exit_data,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_map_from.c,3,2,target_teams_distribute_parallel_for,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_threads.c,3,2,target_teams_distribute_parallel_for,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_map_tofrom.c,3,3,target_teams_distribute_parallel_for,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_teams.c,3,2,target_teams_distribute_parallel_for,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/4.5/target_teams_distribute/test_target_teams_distribute_map.c,3,2,target_teams_distribute,"CHANGE_MAPPING, CHANGE_OPERATOR"
