bug_omp_concept,count,percent
general_code,276,42.72445820433437
mapping,145,22.445820433436534
loop,44,6.811145510835913
reduction,35,5.41795665634675
data_sharing,34,5.2631578947368425
dependency,29,4.489164086687307
atomic,22,3.4055727554179565
configuration,19,2.9411764705882355
runtime_api,14,2.1671826625387
reduction_operator,7,1.08359133126935
bind,7,1.08359133126935
variant_selector,3,0.46439628482972134
loop_body,3,0.46439628482972134
master,2,0.30959752321981426
allocator,2,0.30959752321981426
task_if,1,0.15479876160990713
task_final,1,0.15479876160990713
loop_condition,1,0.15479876160990713
dispatch,1,0.15479876160990713
