mutation_type,count,percent
CHANGE_ASSIGNMENT,130,20.123839009287927
CHANGE_MAPPING,128,19.814241486068113
CHANGE_OPERATOR,67,10.371517027863778
CHANGE_CONSTANT,62,9.597523219814242
CHANGE_CONFIGURATION,53,8.204334365325078
REMOVE_CONSTRUCT,42,6.501547987616099
CHANGE_LOOP_BOUND,37,5.727554179566564
REMOVE_CLAUSE,36,5.572755417956657
REMOVE_SYNCHRONIZATION,24,3.7151702786377707
CHANGE_CLAUSE,23,3.5603715170278636
REMOVE_DEPENDENCY,16,2.476780185758514
CHANGE_CONDITION,13,2.0123839009287927
CHANGE_RUNTIME_CALL,7,1.08359133126935
CHANGE_VARIABLE,6,0.9287925696594427
REMOVE_STATEMENT,2,0.30959752321981426
