bug_family,CHANGE_ASSIGNMENT,CHANGE_CLAUSE,CHANGE_CONDITION,CHANGE_CONFIGURATION,CHANGE_CONSTANT,CHANGE_LOOP_BOUND,CHANGE_MAPPING,CHANGE_OPERATOR,CHANGE_RUNTIME_CALL,CHANGE_VARIABLE,REMOVE_CLAUSE,REMOVE_CONSTRUCT,REMOVE_DEPENDENCY,REMOVE_STATEMENT,REMOVE_SYNCHRONIZATION,TOTAL
loop_body,123,0,0,25,58,0,0,25,1,5,0,0,0,0,0,237
target_mapping,0,0,0,0,0,0,94,0,0,0,0,11,0,0,0,105
reduction,0,0,0,0,0,0,0,17,0,0,24,1,7,0,0,49
loop_bounds,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36
synchronization,0,0,0,0,0,0,0,0,0,0,0,7,0,1,23,31
data_sharing,0,8,0,0,0,0,1,0,0,0,9,1,0,0,0,19
mapping,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
condition,0,2,6,0,1,0,1,6,0,0,0,0,0,0,0,16
runtime_api,0,0,0,11,0,0,0,0,3,1,0,0,0,0,0,15
target_update,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
task_dependency,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,9
reduction_operator,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
condition_semantics,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,8
atomic_compare,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8
requires,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,6
configuration,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
oracle_value,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ordered_doacross,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
loop_binding,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
taskloop,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4
runtime_call,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
directive_semantics,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
data_scoping,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
runtime_query,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
declare_target,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
masked_semantics,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3
loop_bind,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
linear,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
variant_selection,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
schedule,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
variant_semantics,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
teams_configuration,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
dependency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
allocator_semantics,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
dispatch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
lastprivate_semantics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
loop_construct,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
loop_collapse,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
reduction_semantics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
parallel_master,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oracle_sensitive_body,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
memory_initialization,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
loop_header_semantics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
target_configuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
task_sync,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
task_semantics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
