bug_omp_concept,CHANGE_ASSIGNMENT,CHANGE_CLAUSE,CHANGE_CONDITION,CHANGE_CONFIGURATION,CHANGE_CONSTANT,CHANGE_LOOP_BOUND,CHANGE_MAPPING,CHANGE_OPERATOR,CHANGE_RUNTIME_CALL,CHANGE_VARIABLE,REMOVE_CLAUSE,REMOVE_CONSTRUCT,REMOVE_DEPENDENCY,REMOVE_STATEMENT,REMOVE_SYNCHRONIZATION,TOTAL
general_code,123,2,2,29,57,0,2,38,0,5,1,15,0,1,1,276
mapping,0,0,4,2,0,0,114,17,0,0,1,7,0,0,0,145
loop,0,0,1,1,0,35,0,1,0,0,0,6,0,0,0,44
reduction,0,0,0,0,0,0,0,3,0,0,24,1,7,0,0,35
data_sharing,0,12,2,2,1,0,0,1,1,0,8,7,0,0,0,34
dependency,0,0,0,0,0,0,12,0,0,0,0,5,9,0,3,29
atomic,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,22
configuration,0,0,0,16,2,1,0,0,0,0,0,0,0,0,0,19
runtime_api,3,0,0,1,2,0,0,0,6,1,0,0,0,1,0,14
reduction_operator,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
bind,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
loop_body,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
variant_selector,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
allocator,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
master,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
loop_condition,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
dispatch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
task_final,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
task_if,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
