category,CHANGE_ASSIGNMENT,CHANGE_CLAUSE,CHANGE_CONDITION,CHANGE_CONFIGURATION,CHANGE_CONSTANT,CHANGE_LOOP_BOUND,CHANGE_MAPPING,CHANGE_OPERATOR,CHANGE_RUNTIME_CALL,CHANGE_VARIABLE,REMOVE_CLAUSE,REMOVE_CONSTRUCT,REMOVE_DEPENDENCY,REMOVE_STATEMENT,REMOVE_SYNCHRONIZATION,TOTAL
target,15,0,2,11,19,2,23,6,1,1,3,5,1,0,1,90
target_teams_distribute,22,0,1,7,3,0,5,23,0,1,16,0,0,1,3,82
target_teams_distribute_parallel_for,8,2,1,7,10,0,9,0,1,1,1,0,0,0,0,40
loop,13,6,0,0,1,3,1,8,0,1,6,1,0,0,0,40
declare_target,4,0,0,1,8,0,15,1,0,0,0,3,0,0,0,32
target_data,1,0,1,1,4,0,12,2,1,1,0,5,0,0,0,28
task,5,0,3,3,0,0,1,0,0,0,0,2,5,1,1,21
taskloop,2,5,1,1,0,2,0,1,0,0,2,0,1,0,3,18
atomic,1,0,0,2,0,0,0,9,0,0,0,0,0,0,5,17
target_enter_data,2,0,0,3,1,0,11,0,0,0,0,0,0,0,0,17
target_simd,11,0,0,0,1,0,2,1,0,1,0,0,0,0,0,16
assume,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,16
target_enter_exit_data,3,0,1,2,0,0,6,1,0,0,0,1,0,0,0,14
order,4,0,0,0,0,5,4,0,0,0,0,1,0,0,0,14
target_parallel_loop,6,1,0,1,1,0,2,2,0,0,0,0,0,0,0,13
target_update,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,13
requires,0,0,0,4,4,0,0,1,0,0,0,4,0,0,0,13
teams_loop,6,0,0,0,1,0,4,1,0,0,1,0,0,0,0,13
application_kernels,1,0,0,1,1,0,7,1,0,0,0,0,0,0,1,12
scope,0,1,0,0,0,3,1,0,0,0,2,2,0,0,1,10
error,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10
loop_reduction,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
allocate,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,8
default,0,4,0,0,0,0,1,0,0,0,2,1,0,0,0,8
depend,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6
metadirective,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
teams,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,6
runtime_calls,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,6
program_control,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,6
target_requires,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,5
taskgraph,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5
masked,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,5
fuse,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
dispatch,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
taskwait,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4
master_taskloop,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4
master_taskloop_simd,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4
ordered,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
declare_variant,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3
target_teams_distribute_parallel_for_simd,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3
parallel_master_taskloop_simd,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
taskgroup,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
offloading_success.c,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
parallel_master_taskloop,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
parallel_master,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
taskloop_simd,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
parallel_for,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
memory_routines,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
parallel_for_simd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
