omp_construct,CHANGE_ASSIGNMENT,CHANGE_CLAUSE,CHANGE_CONDITION,CHANGE_CONFIGURATION,CHANGE_CONSTANT,CHANGE_LOOP_BOUND,CHANGE_MAPPING,CHANGE_OPERATOR,CHANGE_RUNTIME_CALL,CHANGE_VARIABLE,REMOVE_CLAUSE,REMOVE_CONSTRUCT,REMOVE_DEPENDENCY,REMOVE_STATEMENT,REMOVE_SYNCHRONIZATION,TOTAL
target_mapping,93,2,6,36,54,2,86,42,3,5,4,18,2,1,7,361
loop,16,7,0,1,4,33,27,13,0,1,0,1,0,0,0,103
taskloop,1,4,1,1,0,0,0,1,0,0,24,2,0,0,0,34
atomic,1,2,0,3,3,0,0,9,0,0,0,0,0,0,6,24
task,3,0,3,3,0,0,1,0,0,0,0,2,8,1,1,22
runtime_api,1,0,0,0,0,0,6,0,3,0,0,1,0,0,0,11
error,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11
scope,0,2,0,0,0,0,0,0,0,0,3,1,0,0,4,10
teams,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,7
default,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,7
metadirective,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
application_kernels,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,6
masked,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,5
taskloop_simd,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
depend,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
taskwait,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4
ordered,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
declare_variant,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
dispatch,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
allocator,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
fuse,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
offloading_success.c,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
parallel_for,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
parallel_master_taskloop_simd,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
declare_mapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
parallel_master,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
parallel_master_taskloop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
parallel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
taskgroup,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
