mutation_type,bug_omp_concept,count
CHANGE_LOOP_BOUND,loop,38
CHANGE_ASSIGNMENT,general_code,18
REMOVE_SYNCHRONIZATION,atomic,13
CHANGE_CLAUSE,data_sharing,13
REMOVE_CONSTRUCT,general_code,11
REMOVE_DEPENDENCY,dependency,10
REMOVE_CLAUSE,reduction,10
REMOVE_CLAUSE,data_sharing,8
CHANGE_MAPPING,mapping,8
CHANGE_OPERATOR,general_code,8
CHANGE_OPERATOR,reduction_operator,7
CHANGE_ASSIGNMENT,loop_body,5
CHANGE_CONFIGURATION,general_code,5
CHANGE_CONFIGURATION,configuration,5
CHANGE_LOOP_BOUND,general_code,5
REMOVE_CONSTRUCT,dependency,5
CHANGE_CLAUSE,bind,4
REMOVE_SYNCHRONIZATION,dependency,3
CHANGE_OPERATOR,reduction,3
ORACLE_MUTATION,general_code,2
REMOVE_SYNCHRONIZATION,taskwait,2
CHANGE_CONDITION,general_code,2
REMOVE_CONSTRUCT,message_or_severity,2
CHANGE_RUNTIME_CALL,runtime_api,2
ORACLE_MUTATION,runtime_api,2
CHANGE_RUNTIME_CALL,configuration,2
CHANGE_CLAUSE,variant_selector,2
CHANGE_CLAUSE,severity,1
CHANGE_ASSIGNMENT,variant_selector,1
CHANGE_CONFIGURATION,allocator,1
CHANGE_CONDITION,task_final,1
CHANGE_CONDITION,task_if,1
CHANGE_CONDITION,data_sharing,1
CHANGE_CONDITION,loop,1
CHANGE_LOOP_BOUND,configuration,1
CHANGE_CONSTANT,configuration,1
CHANGE_CONFIGURATION,loop,1
REMOVE_CLAUSE,dispatch,1
CHANGE_LOOP_BOUND,loop_condition,1
ORACLE_MUTATION,configuration,1
CHANGE_SCAN,scan,1
CHANGE_OPERATOR,loop,1
REMOVE_CONSTRUCT,mapping,1
REMOVE_CONSTRUCT,dispatch,1
REMOVE_CLAUSE,master,1
REMOVE_CONSTRUCT,data_sharing,1
REMOVE_CLAUSE,general_code,1
REMOVE_CONSTRUCT,reduction,1
REMOVE_DEPENDENCY,reduction,1
REMOVE_STATEMENT,runtime_api,1
