omp_construct,category,count
task,task,25
atomic,atomic,11
error,error,10
loop,loop,10
loop,assume,9
loop,loop_reduction,9
parallel,parallel,9
taskloop,taskloop,9
taskloop,reduction,8
taskwait,taskwait,7
declare_variant,declare_variant,6
default,default,6
loop,allocate,5
loop,order,5
declare_mapper,declare_mapper,5
simd,simd,5
masked,masked,5
runtime_api,env_var,4
teams,env_var,4
application_kernels,application_kernels,4
scope,scope,4
loop,taskgraph,4
ordered,ordered,4
teams,teams,4
loop,scope,3
assume,assume,3
teams,runtime_calls,3
tile,tile,3
parallel_master_taskloop,parallel,3
fuse,fuse,2
loop,declare_mapper,2
application_kernels,taskloop,2
loop,fuse,2
parallel_for,parallel_for,2
loop,taskloop,2
modifiers,modifiers,2
allocator,allocate,1
fuse,map-type_modifier,1
error,scope,1
fuse,modifiers,1
depend,depend,1
atomic,task,1
atomic,parallel_for_simd,1
atomic,modifiers,1
loop,teams,1
loop,tile,1
metadirective,metadirective,1
loop,taskwait,1
scan,scan,1
target_mapping,map-type_modifier,1
parallel_master_taskloop_simd,parallel_master_taskloop_simd,1
runtime_api,runtime_calls,1
taskloop,scope,1
