source_dir,mutation_type,count
tests/5.0/loop,CHANGE_OPERATOR,9
tests/5.1/assume,CHANGE_LOOP_BOUND,8
tests/5.1/atomic,CHANGE_OPERATOR,8
tests/6.0/task,CHANGE_ASSIGNMENT,6
tests/5.1/allocate,CHANGE_LOOP_BOUND,5
tests/5.1/error,CHANGE_ASSIGNMENT,5
tests/5.1/error,REMOVE_CONSTRUCT,5
tests/5.1/order,CHANGE_LOOP_BOUND,5
tests/5.1/env_var,ORACLE_MUTATION,4
tests/5.2/ordered,REMOVE_DEPENDENCY,4
tests/5.1/env_var,CHANGE_RUNTIME_CALL,4
tests/4.5/taskloop,CHANGE_CLAUSE,4
tests/5.0/loop,CHANGE_CLAUSE,4
tests/6.0/taskgraph,CHANGE_LOOP_BOUND,4
tests/5.0/task,REMOVE_DEPENDENCY,3
tests/5.0/taskloop,REMOVE_CLAUSE,3
tests/5.1/scope,CHANGE_LOOP_BOUND,3
tests/5.2/declare_mapper,CHANGE_MAPPING,3
tests/6.0/task,REMOVE_CLAUSE,3
tests/6.0/parallel,CHANGE_ASSIGNMENT,3
tests/5.1/loop,CHANGE_LOOP_BOUND,3
tests/6.0/task,REMOVE_DEPENDENCY,3
tests/5.1/default,CHANGE_CLAUSE,3
tests/5.1/loop,CHANGE_ASSIGNMENT,3
tests/6.0/task,REMOVE_SYNCHRONIZATION,3
tests/5.0/simd,CHANGE_LOOP_BOUND,3
tests/4.5/task,CHANGE_CONDITION,2
tests/4.5/application_kernels,CHANGE_MAPPING,2
tests/5.0/task,REMOVE_CONSTRUCT,2
tests/5.0/taskloop_simd,REMOVE_CLAUSE,2
tests/5.0/atomic,REMOVE_SYNCHRONIZATION,2
tests/5.0/teams,CHANGE_LOOP_BOUND,2
tests/5.0/taskwait,REMOVE_CONSTRUCT,2
tests/4.5/taskloop,REMOVE_SYNCHRONIZATION,2
tests/5.0/taskwait,REMOVE_SYNCHRONIZATION,2
tests/6.0/fuse,CHANGE_ASSIGNMENT,2
