bug_type,count,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,suggested_mutation_type,suggested_omp_construct,suggested_bug_omp_concept,needs_review
BASE_WRONG_ASSIGNMENT,1,tests/5.1/dispatch/test_dispatch.c,dispatch,variant_semantics,arr[i] = arr[i]+1;,arr[i] = arr[i]+4;,CHANGE_ASSIGNMENT,dispatch,general_code,FALSE
VARIANT_WRONG_ASSIGNMENT,2,tests/5.1/declare_variant/test_declare_variant_adjust_args.c,declare_variant,variant_semantics,arr[i] = i+3; // Variant function adds 3 to array values,arr[i] = i+1; // BUG: variant function adds 1 instead of 3,CHANGE_ASSIGNMENT,declare_variant,variant_selector,FALSE
WRONG_ARRAY_UPDATE,1,tests/6.0/parallel/test_parallel_safesync.c,parallel,loop_body,a[i] += b[i];,a[i] += b[i] + 1;,CHANGE_ASSIGNMENT,parallel,loop_body,FALSE
WRONG_ASSIGNMENT,4,tests/6.0/fuse/test_fuse_apply_looprange.c,fuse,loop_body,A[2][j] = 2 * N + j + 1;,A[2][j] = 2 * N + j;,CHANGE_ASSIGNMENT,fuse,general_code,FALSE
WRONG_ASSIGNMENT_SCALE,1,tests/6.0/assume/test_assume_noopenmpconstructs.c,assume,loop_body,A[i] = 2 * (i + 1);,A[i] = 3 * (i + 1);,CHANGE_ASSIGNMENT,assume,general_code,FALSE
WRONG_FIB_COMBINE,2,tests/6.0/task/test_task_threadset_ancestor_THREADS_RESERVE.c,task,loop_body,return (i + j);,return (i - j);,CHANGE_ASSIGNMENT,task,general_code,FALSE
WRONG_INCREMENT,6,tests/5.1/order/test_loop_order_unconstrained.c,order,loop_body,x[i] = x[i] + 2;,x[i] = x[i] + 1;,CHANGE_ASSIGNMENT,loop,general_code,FALSE
WRONG_INCREMENT_AMOUNT,5,tests/5.1/error/test_error_at_execution.c,error,oracle_value,i+=5;,i+=4;,CHANGE_ASSIGNMENT,error,general_code,FALSE
WRONG_LOOP_BODY_ASSIGNMENT,3,tests/5.1/loop/test_full_loop_unroll.c,loop,loop_body,parallel_arr[i] = i;,parallel_arr[i] = i + 1;,CHANGE_ASSIGNMENT,loop,loop_body,FALSE
WRONG_RETURN_UPDATE,2,tests/6.0/parallel/test_parallel_message.c,parallel,loop_body,--return_value;,++return_value;,CHANGE_ASSIGNMENT,parallel,general_code,FALSE
WRONG_TIME_ASSIGNMENT,1,tests/5.1/tile/test_tile.c,tile,loop_body,result[i][j] = time++;,result[i][j] = ++time;,CHANGE_ASSIGNMENT,tile,loop_body,FALSE
BIND_PARALLEL_TO_THREAD,3,tests/5.0/loop/test_loop_bind_device.c,loop,loop_bind,#pragma omp loop bind(parallel),#pragma omp loop bind(thread),CHANGE_CLAUSE,loop,bind,FALSE
BIND_TEAMS_TO_THREAD,2,tests/5.0/loop/test_loop_bind_device.c,loop,loop_bind,#pragma omp loop bind(teams),#pragma omp loop bind(thread),CHANGE_CLAUSE,loop,bind,FALSE
BIND_THREAD_TO_PARALLEL,1,tests/5.0/loop/test_loop_bind.c,loop,loop_binding,#pragma omp loop bind(thread),#pragma omp loop bind(parallel),CHANGE_CLAUSE,loop,bind,FALSE
BIND_THREAD_TO_TEAMS,1,tests/5.0/loop/test_loop_bind.c,loop,loop_binding,#pragma omp loop bind(thread),#pragma omp loop bind(teams),CHANGE_CLAUSE,loop,bind,FALSE
DEFAULT_FIRSTPRIVATE_TO_SHARED,4,tests/5.1/default/test_default_firstprivate_parallel.c,default,data_sharing,#pragma omp parallel default(firstprivate) num_threads(OMPVV_NUM_THREADS_HOST),#pragma omp parallel default(shared) num_threads(OMPVV_NUM_THREADS_HOST),CHANGE_CLAUSE,default,data_sharing,FALSE
FIRSTPRIVATE_TARGET_TO_PRIVATE,1,tests/6.0/modifiers/test_directive_name_modifier.c,modifiers,data_sharing,#pragma omp target teams distribute firstprivate(target : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \,CHANGE_CLAUSE,modifiers,data_sharing,FALSE
FIRSTPRIVATE_TEAMS_TO_PRIVATE,1,tests/6.0/modifiers/test_directive_name_modifier.c,modifiers,data_sharing,#pragma omp target teams distribute firstprivate(teams : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \,CHANGE_CLAUSE,modifiers,data_sharing,FALSE
FIRSTPRIVATE_TO_PRIVATE,2,tests/5.2/scope/test_scope_firstprivate_construct.c,scope,data_sharing,#pragma omp scope firstprivate(test_int),#pragma omp scope private(test_int),CHANGE_CLAUSE,scope,data_sharing,FALSE
LASTPRIVATE_TO_FIRSTPRIVATE,1,tests/4.5/taskloop/test_taskloop_lastprivate.c,taskloop,data_scoping,#pragma omp taskloop lastprivate(val),#pragma omp taskloop firstprivate(val),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
