bug_family,count
loop_body,301
target_mapping,121
reduction,72
loop_bounds,47
synchronization,41
data_sharing,34
mapping,27
target_update,20
condition,19
allocate,16
runtime_api,16
task_dependency,14
requires,10
reduction_operator,9
atomic_compare,8
condition_semantics,8
env_query,6
oracle_value,6
target_configuration,6
configuration,5
runtime_query,5
taskloop,4
variant_selection,4
ordered_doacross,4
loop_binding,4
dependency,4
declare_target,4
induction,3
loop_bind,3
directive_semantics,3
data_scoping,3
declare_mapper,3
variant_semantics,3
masked_semantics,3
runtime_call,3
parallel,3
parallel_directive,2
tile_clause,2
task_semantics,2
threadset,2
linear,2
assumption,2
loop_transform,2
metadirective,2
dispatch,2
parallel_clause,2
simd_clause,2
schedule,2
transparent,2
teams_configuration,2
loop_header_semantics,1
loop_construct,1
lastprivate_semantics,1
loop_collapse,1
allocator_semantics,1
declare_variant,1
oracle_sensitive_body,1
memory_initialization,1
parallel_master,1
reduction_semantics,1
scan,1
task_sync,1
taskgraph,1
variant_arguments,1
