bug_family,mutation_type,count
loop_body,NEEDS_REVIEW,187
target_mapping,CHANGE_MAPPING,104
loop_bounds,CHANGE_LOOP_BOUND,45
reduction,REMOVE_CLAUSE,38
loop_body,CHANGE_OPERATOR,32
synchronization,REMOVE_SYNCHRONIZATION,32
loop_body,CHANGE_CONSTANT,31
loop_body,CHANGE_CONFIGURATION,31
mapping,CHANGE_MAPPING,25
reduction,NEEDS_REVIEW,23
data_sharing,REMOVE_CLAUSE,20
loop_body,CHANGE_ASSIGNMENT,20
allocate,CHANGE_CONFIGURATION,13
target_mapping,REMOVE_CONSTRUCT,13
target_update,CHANGE_MAPPING,12
runtime_api,CHANGE_CONFIGURATION,11
data_sharing,CHANGE_CLAUSE,10
reduction_operator,CHANGE_OPERATOR,9
condition,NEEDS_REVIEW,9
atomic_compare,CHANGE_OPERATOR,8
requires,REMOVE_CONSTRUCT,8
condition,CHANGE_OPERATOR,7
reduction,REMOVE_DEPENDENCY,7
synchronization,REMOVE_CONSTRUCT,7
task_dependency,REMOVE_CONSTRUCT,6
task_dependency,REMOVE_DEPENDENCY,6
target_update,NEEDS_REVIEW,6
oracle_value,CHANGE_ASSIGNMENT,5
configuration,CHANGE_CONFIGURATION,5
ordered_doacross,REMOVE_DEPENDENCY,4
env_query,ORACLE_MUTATION,4
loop_binding,CHANGE_CLAUSE,4
target_configuration,NEEDS_REVIEW,4
target_mapping,NEEDS_REVIEW,4
runtime_api,NEEDS_REVIEW,4
reduction,CHANGE_OPERATOR,3
loop_bind,CHANGE_CLAUSE,3
declare_target,REMOVE_CONSTRUCT,3
induction,NEEDS_REVIEW,3
taskloop,NEEDS_REVIEW,3
data_scoping,CHANGE_CLAUSE,3
condition_semantics,CHANGE_CONDITION,3
declare_mapper,CHANGE_MAPPING,3
parallel,REMOVE_CONSTRUCT,3
runtime_query,NEEDS_REVIEW,3
runtime_call,CHANGE_CONFIGURATION,3
variant_semantics,CHANGE_ASSIGNMENT,3
condition_semantics,CHANGE_CONFIGURATION,3
dependency,REMOVE_CONSTRUCT,2
directive_semantics,NEEDS_REVIEW,2
condition,CHANGE_CONSTANT,2
loop_bounds,NEEDS_REVIEW,2
threadset,CHANGE_CLAUSE,2
variant_selection,NEEDS_REVIEW,2
target_update,CHANGE_CONSTANT,2
tile_clause,CHANGE_CONFIGURATION,2
mapping,REMOVE_CONSTRUCT,2
loop_transform,REMOVE_CONSTRUCT,2
allocate,NEEDS_REVIEW,2
data_sharing,NEEDS_REVIEW,2
assumption,CHANGE_CONDITION,2
runtime_query,CHANGE_RUNTIME_CALL,2
variant_selection,CHANGE_CLAUSE,2
transparent,REMOVE_CLAUSE,2
simd_clause,NEEDS_REVIEW,2
requires,NEEDS_REVIEW,2
metadirective,NEEDS_REVIEW,2
parallel_directive,REMOVE_CONSTRUCT,2
env_query,CHANGE_RUNTIME_CALL,2
dependency,REMOVE_DEPENDENCY,2
dispatch,REMOVE_CONSTRUCT,2
allocator_semantics,CHANGE_CONFIGURATION,1
directive_semantics,REMOVE_CLAUSE,1
lastprivate_semantics,CHANGE_CONDITION,1
linear,CHANGE_CONSTANT,1
linear,REMOVE_CONSTRUCT,1
data_sharing,REMOVE_CONSTRUCT,1
declare_variant,NEEDS_REVIEW,1
declare_target,NEEDS_REVIEW,1
allocate,REMOVE_CLAUSE,1
condition,CHANGE_MAPPING,1
condition_semantics,NEEDS_REVIEW,1
condition_semantics,CHANGE_OPERATOR,1
data_sharing,CHANGE_MAPPING,1
masked_semantics,CHANGE_CONFIGURATION,1
loop_collapse,CHANGE_CONSTANT,1
loop_construct,REMOVE_CONSTRUCT,1
loop_header_semantics,CHANGE_LOOP_BOUND,1
reduction_semantics,CHANGE_OPERATOR,1
reduction,REMOVE_CONSTRUCT,1
scan,CHANGE_SCAN,1
runtime_api,CHANGE_VARIABLE,1
oracle_value,ORACLE_MUTATION,1
oracle_sensitive_body,CHANGE_MAPPING,1
masked_semantics,REMOVE_CONSTRUCT,1
memory_initialization,CHANGE_CONFIGURATION,1
masked_semantics,REMOVE_CLAUSE,1
parallel_clause,CHANGE_CLAUSE,1
parallel_clause,CHANGE_CONFIGURATION,1
parallel_master,CHANGE_CLAUSE,1
schedule,REMOVE_STATEMENT,1
schedule,NEEDS_REVIEW,1
task_dependency,NEEDS_REVIEW,1
target_configuration,CHANGE_CONFIGURATION,1
synchronization,REMOVE_STATEMENT,1
synchronization,CHANGE_CONFIGURATION,1
target_configuration,CHANGE_CONSTANT,1
task_dependency,REMOVE_SYNCHRONIZATION,1
teams_configuration,CHANGE_CONFIGURATION,1
taskloop,REMOVE_CLAUSE,1
taskgraph,REMOVE_CONSTRUCT,1
task_sync,REMOVE_CONSTRUCT,1
task_semantics,REMOVE_CLAUSE,1
task_semantics,REMOVE_CONSTRUCT,1
teams_configuration,CHANGE_CONSTANT,1
variant_arguments,REMOVE_CLAUSE,1
