bug_type,count
SKIP_LAST_ITERATION,38
REMOVE_REDUCTION,38
MULTIPLY_TO_ADD,34
TARGET_MAP_TOFROM_TO_TO,18
UPDATE_FROM_TO_TO,14
MAP_TOFROM_TO_TO,12
MAP_TOFROM_A_TO_TO,6
WRONG_INCREMENT,6
ASSIGN_I_TO_ZERO,6
REMOVE_SINGLE,6
REMOVE_ATOMIC_UPDATE,6
REMOVE_IN_REDUCTION,6
REMOVE_ATOMIC,6
MAP_TOFROM_X_TO_TO,6
SKIP_LAST_ITER,5
UPDATE_TO_TO_FROM,5
EXIT_DATA_FROM_TO_DELETE,5
MAP_FROM_C_TO_TO,5
D_COMPUTE_PLUS_TO_MINUS,5
ADD_TO_SUBTRACT,5
WRONG_INCREMENT_AMOUNT,5
ACCUMULATE_TO_ASSIGN,5
COMPARE_WRITE_WRONG_VALUE,4
REMOVE_USE_DEVICE_ADDR,4
BODY_ADD_TO_SUB,4
ASSIGN_I_TO_I_PLUS1,4
REMOVE_UNIFIED_SHARED_MEMORY,4
DEFAULT_FIRSTPRIVATE_TO_SHARED,4
REDUCTION_MAX_TO_MIN,4
WRONG_ASSIGNMENT,4
MAP_TOFROM_B_TO_TO,4
REDUCTION_MIN_TO_MAX,4
REMOVE_TASKWAIT,3
BODY_OR_TO_AND,3
COMPARE_EQ_TO_NEQ,3
TARGET_MAP_FROM_TO_TO,3
BODY_BITAND_TO_BITOR,3
REMOVE_USM,3
BODY_SUB_TO_ADD,3
ADD_TO_SUB,3
BODY_MUL_TO_ADD,3
THREE_K_TO_TWO_K,3
REDUCTION_OR_TO_AND,3
REMOVE_DEPEND,3
MAP_TOFROM_ARRAY_TO_TO,3
DEVICE_PLUS_TO_MINUS,3
REDUCTION_BITAND_TO_BITOR,3
REDUCTION_AND_TO_OR,3
PTR_ASSIGN_I_TO_ZERO,3
MULTIPLY_2_TO_3,3
REMOVE_PARALLEL,3
REDUCTION_BITXOR_TO_BITOR,3
REDUCTION_BITOR_TO_BITAND,3
BODY_BITOR_TO_BITAND,3
HOST_DEVICE_ALPHA_INVERTED,3
MAPPER_REMOVE_DATA_SECTION,3
A_PLUS_TO_MINUS,3
MAP_FROM_X_TO_TO,3
BIND_PARALLEL_TO_THREAD,3
WRONG_DECLARE_TARGET_COMPUTE,3
WRONG_LOOP_BODY_ASSIGNMENT,3
REMOVE_USE_DEVICE_PTR,2
REMOVE_TARGET_ENTER_DATA,2
REMOVE_TRANSPARENT_CLAUSE,2
SHARED_TO_PRIVATE,2
STEP2_TO3,2
BODY_BITXOR_TO_BITOR,2
BODY_FMAX_TO_FMIN,2
BODY_FMIN_TO_FMAX,2
THREAD_LIMIT_DOUBLE,2
ALIGNED_CLAUSE_64_TO_8,2
BODY_AND_TO_OR,2
THREADSET_POOL_TO_TEAM,2
TEAM_NUM_PLUS_ONE,2
X_PLUS_TO_MINUS,2
WRONG_PREFIX_OUTPUT_INDEX,2
X_2I_TO_I,2
X_10_TO_9,2
TARGET_DATA_TOFROM_TO_TO,2
STRIDE_2_TO_1,2
CALLOC_TO_ALLOC,2
REMOVE_DEFAULT_FIRSTPRIVATE,2
REMOVE_ATOMIC_CAPTURE,2
REDUCTION_PLUS_TO_MINUS,2
REMOVE_ATOMIC_DECREMENT,2
REMOVE_ATOMIC_COMPARE,2
REMOVE_HAS_DEVICE_ADDR,2
REMOVE_PRIVATE,2
C_ADD_B_TO_SUB_B,2
COPY_FROM_ARRAY_TO_ZERO,2
MASTER_TASKLOOP_TO_TASKLOOP,2
NUM_THREADS_TO_THREAD_NUM,2
PARALLEL_MASTER_TASKLOOP_SIMD_TO_PARALLEL_TASKLOOP_SIMD,2
PLUS1_TO_MINUS1,2
PREFIX_SUM_PLUS_TO_MINUS,2
PLUS1_TO_PLUS2,2
PRIVATIZED_RESET_ZERO_TO_ONE,2
DEFAULTMAP_TOFROM_TO_TO,2
REMOVE_DOACROSS_SINK,2
REMOVE_DOACROSS_SOURCE,2
REMOVE_FIRSTPRIVATE,2
INIT_I_TO_ZERO,2
MAP_TOFROM_ARR_TO_TO,2
MASTER_TASKLOOP_SIMD_TO_TASKLOOP_SIMD,2
MAP_TOFROM_C_TO_TO,2
DEVICE_PLUS10_TO_PLUS9,2
HOST_ACCUM_PLUS_TO_MINUS,2
HOST_BRANCH_INCREMENT_1_TO_2,2
IF_GE_TO_GT,2
INDUCTION_MUL_TO_ADD,2
MAP_FROM_TO_TO,2
FIRSTPRIVATE_TO_PRIVATE,2
BIND_TEAMS_TO_THREAD,2
GET_NUM_TEAMS_TO_TEAM_NUM,2
WRONG_RETURN_UPDATE,2
WRONG_RUNTIME_QUERY,2
UPDATE_A_PLUS1_TO_PLUS2,2
VARIANT_WRONG_ASSIGNMENT,2
Y_PLUS2_TO_MINUS2,2
WRONG_FIB_COMBINE,2
WRONG_EXPECTED_OMP_PLACES,2
WRONG_ENV_VAR_NAME,2
ARRAY_LASTPRIVATE_MULTIPLY_TO_ADD,1
WRONG_EXPECTED_MAX_TEAMS,1
WRONG_EXPECTED_TEAMS_THREAD_LIMIT,1
WRONG_FILTER_THREAD,1
WRONG_HOST_ACCUMULATION,1
Y_INCREMENT_TO_PLUS2,1
ACCESSIBLE_TRUE_BRANCH_INVERTED,1
ACCESSIBLE_CHECK_INVERTED,1
ADD_DEV_PLUS_ONE_TO_DEV,1
A_2J_TO_J,1
ATOMIC_MEM_ORDER_SEQ_CST_TO_RELAXED,1
ATOMIC_MEM_ORDER_ACQ_REL_TO_RELAXED,1
ASSIGN_ZERO,1
ASSIGN_PMAX_TO_ZERO,1
ASSIGN_2_TO_3,1
ANCESTOR_TO_DEVICE_NUM,1
ALLOC_ALIGNMENT_64_TO_32,1
ALLOCATOR_DEFAULT_TO_NULL,1
ALIGN_64_TO_8_CALLOC,1
ALIGN_64_TO_8_ALLOC,1
ADD_TO_NOOP,1
ASSIGN1_TO2,1
ARR_TEAM_NUM_TO_THREAD_NUM,1
ARR_INIT_PLUS_ONE_TO_PLUS_TWO,1
ARRAY_REDUCTION_PLUS_TO_MINUS,1
EXIT_DATA_DEFAULT_TO_DELETE,1
ENTER_EXIT_IF_GT_TO_LT,1
ENTER_DATA_X_TO_ALLOC,1
ENTER_DATA_TO_TO_ALLOC,1
ENTER_DATA_IF_GT_TO_LT,1
ENTER_DATA_DEFAULT_TO_FROM,1
FIRSTIZED_10_TO_11,1
FINAL_TO_ZERO,1
FINAL_ONE_TO_ZERO_NESTED,1
FINAL_ONE_TO_ZERO_ADVANCED,1
FINAL_ISFINAL_TO_NOT_ISFINAL,1
FALSE_BRANCH_INCREMENT_1_TO_2,1
EXIT_DATA_FROM_X_TO_DELETE,1
EXIT_DATA_FROM_SINGLE_TO_DELETE,1
EXIT_DATA_FROM_HEAP_TO_DELETE,1
BITXOR_TO_BITOR,1
FORCE_ONE_TEAM,1
FMIN_TO_FMAX,1
FMAX_TO_FMIN,1
FIVE_I_TO_FOUR_I,1
FIRSTPRIVATE_TEAMS_TO_PRIVATE,1
FIRSTPRIVATE_TARGET_TO_PRIVATE,1
FIRSTPRIVATE_PTR_REMOVED,1
BASE_WRONG_ASSIGNMENT,1
A_PLUS5_TO_MINUS5,1
A_PLUS1_TO_PLUS2,1
A_I2_TO_I,1
A_DOUBLE_TO_ZERO,1
A_ASSIGN_I_TO_ZERO,1
A_ASSIGN_5_TO_4,1
A_ADD_TO_SUB,1
EXIT_DATA_FROM_B_TO_DELETE,1
IF_INVERT,1
IF0_TO_IF1_FIRST_TASK,1
IF0_TO_IF1,1
I2_TO_I3,1
HOST_PLUS10_TO_PLUS9,1
HOSTVAR_CHECK_INVERTED,1
GET_TEAM_NUM_TO_NUM_TEAMS,1
GET_NUM_THREADS_TO_NUM_TEAMS,1
GET_NUM_THREADS_TO_GET_NUM_TEAMS,1
GET_NUM_TEAMS_TO_GET_TEAM_NUM,1
GET_NUM_TEAMS_TO_GET_NUM_THREADS,1
GET_DEVICE_NUM_TO_INITIAL_DEVICE,1
GET_DEVICE_NUM_TO_INITIAL,1
F_COMPUTE_PLUS_TO_MINUS,1
FUN2_RETURN_10_TO_11,1
FOUR_L_TO_THREE_L,1
LASTPRIVATE_TO_PRIVATE,1
LASTPRIVATE_TO_FIRSTPRIVATE,1
LASTPRIVATE_CONDITIONAL_TO_LASTPRIVATE,1
I_PLUS_ASCLR_TO_I_MINUS_ASCLR,1
ITERATOR_TO_TO,1
ITERATOR_RANGE_N_TO_N_MINUS_1,1
ITERATOR_N_TO_N_MINUS_1,1
IS_INITIAL_DEVICE_NEGATED,1
INNER_PLUS1_TO_PLUS2,1
INDEX_MINUS_128_TO_127,1
INCREMENT_TO_PLUS2,1
INCREMENT_TO_DECREMENT,1
INCREMENT_ONE_TO_TWO,1
IF_TO_ZERO,1
IF_TARGET_TO_PARALLEL,1
IF_PARALLEL_TO_TARGET,1
MAP_FROM_ARRAYCOPY_TO_TO,1
MAP_FROM_A3D2_TO_TO,1
MAP_FROM_A1D_TO_TO,1
MAP_EXIT_FROM_TO_TO_HEAD,1
MAP_ENTER_TO_TO_FROM,1
MAP_DEFAULT_TO_TO,1
MAP_DEFAULT_POINTER_TO_TO,1
MAP_DEFAULT_NEW_SCALAR_TO_TO,1
MAP_ALLOC_TO_TOFROM,1
MAPPER_TOFROM_TO_TO,1
MAPPER_FROM_TO_TO,1
LOGICAL_OR_TO_AND,1
LOGICAL_AND_TO_OR,1
LOCAL_TO_ENTER,1
LINEAR_STEP_2_TO_1,1
LEN_N_TO_N_MINUS1,1
DEVICE_PLUS10_TO_PLUS11,1
DEVICE_NUM_TO_ANCESTOR,1
DEVICE_INCREMENT_1_TO_2,1
DEVICE_DATA_14_TO_13,1
DEVICE_COPY_SOURCE_TO_ZERO,1
DEVICE_ASSIGN_I_TO_ZERO,1
MAP_FROM_TO_TO_REDUCTION,1
MAP_FROM_TO_TO_ATOMIC,1
MAP_FROM_STACK_TO_TO,1
MAP_FROM_RETVAL_TO_TO,1
MAP_FROM_OUTPUT_TO_TO,1
MAP_FROM_MATRIX_TO_TO,1
