category,count
target,170
target_teams_distribute,94
loop,46
target_teams_distribute_parallel_for,43
task,38
declare_target,35
target_update,28
target_data,28
allocate,23
assume,20
teams_loop,19
taskloop,18
atomic,17
target_enter_data,17
target_simd,16
requires,16
target_enter_exit_data,14
order,14
target_parallel_loop,13
parallel,12
application_kernels,12
scope,10
error,10
declare_mapper,10
metadirective,9
loop_reduction,9
declare_variant,9
taskgraph,8
env_var,8
reduction,8
taskwait,8
default,8
runtime_calls,7
teams,6
program_control,6
depend,6
simd,5
masked,5
target_requires,5
master_taskloop,4
dispatch,4
modifiers,4
ordered,4
master_taskloop_simd,4
fuse,4
tile,4
interop,3
target_teams_distribute_parallel_for_simd,3
parallel_master_taskloop_simd,3
map-type_modifier,2
offloading_success.c,2
taskloop_simd,2
parallel_master,2
parallel_for,2
parallel_master_taskloop,2
taskgroup,2
memory_routines,1
scan,1
parallel_for_simd,1
