mutation_type,bug_omp_concept,count
NEEDS_REVIEW,general_code,202
CHANGE_MAPPING,mapping,133
CHANGE_OPERATOR,general_code,46
CHANGE_LOOP_BOUND,loop,39
REMOVE_CLAUSE,reduction,38
CHANGE_CONFIGURATION,general_code,36
CHANGE_CONSTANT,general_code,34
NEEDS_REVIEW,mapping,34
REMOVE_SYNCHRONIZATION,atomic,25
REMOVE_CONSTRUCT,general_code,23
CHANGE_ASSIGNMENT,general_code,21
REMOVE_CLAUSE,data_sharing,17
CHANGE_CONFIGURATION,configuration,17
CHANGE_CLAUSE,data_sharing,16
CHANGE_MAPPING,dependency,14
REMOVE_DEPENDENCY,dependency,11
NEEDS_REVIEW,runtime_api,10
REMOVE_CONSTRUCT,data_sharing,9
REMOVE_CONSTRUCT,mapping,9
REMOVE_CONSTRUCT,dependency,9
CHANGE_CONFIGURATION,mapping,8
CHANGE_CLAUSE,bind,7
CHANGE_OPERATOR,reduction_operator,7
REMOVE_DEPENDENCY,reduction,7
NEEDS_REVIEW,data_sharing,7
REMOVE_CLAUSE,mapping,7
CHANGE_CONFIGURATION,data_sharing,6
CHANGE_CONFIGURATION,allocator,6
CHANGE_LOOP_BOUND,general_code,5
NEEDS_REVIEW,loop,5
CHANGE_ASSIGNMENT,loop_body,5
CHANGE_OPERATOR,reduction,4
REMOVE_SYNCHRONIZATION,dependency,4
NEEDS_REVIEW,allocator,3
NEEDS_REVIEW,variant_selector,3
REMOVE_SYNCHRONIZATION,taskwait,3
CHANGE_CONSTANT,runtime_api,2
REMOVE_CONSTRUCT,message_or_severity,2
REMOVE_CONSTRUCT,loop,2
CHANGE_CONDITION,general_code,2
CHANGE_CLAUSE,variant_selector,2
CHANGE_ASSIGNMENT,variant_selector,2
REMOVE_CLAUSE,master,2
CHANGE_OPERATOR,mapping,2
CHANGE_RUNTIME_CALL,configuration,2
CHANGE_RUNTIME_CALL,runtime_api,2
CHANGE_CONSTANT,configuration,2
ORACLE_MUTATION,runtime_api,2
ORACLE_MUTATION,general_code,2
REMOVE_CONSTRUCT,dispatch,2
NEEDS_REVIEW,atomic,2
CHANGE_CONDITION,task_final,1
CHANGE_CONDITION,loop,1
CHANGE_CONDITION,data_sharing,1
CHANGE_CLAUSE,severity,1
CHANGE_CONFIGURATION,runtime_api,1
CHANGE_CONFIGURATION,loop,1
CHANGE_CONDITION,task_if,1
CHANGE_LOOP_BOUND,loop_condition,1
NEEDS_REVIEW,dependency,1
CHANGE_VARIABLE,runtime_api,1
CHANGE_SCAN,scan,1
CHANGE_OPERATOR,loop,1
CHANGE_OPERATOR,data_sharing,1
CHANGE_CONSTANT,data_sharing,1
CHANGE_LOOP_BOUND,configuration,1
ORACLE_MUTATION,configuration,1
REMOVE_CLAUSE,dispatch,1
REMOVE_CLAUSE,general_code,1
REMOVE_CONSTRUCT,taskgraph,1
REMOVE_CONSTRUCT,reduction,1
REMOVE_STATEMENT,runtime_api,1
REMOVE_STATEMENT,general_code,1
REMOVE_DEPENDENCY,mapping,1
REMOVE_SYNCHRONIZATION,general_code,1
