mutation_type,category,count
NEEDS_REVIEW,target,65
NEEDS_REVIEW,target_teams_distribute,43
CHANGE_MAPPING,target,31
CHANGE_CONFIGURATION,target,21
REMOVE_CLAUSE,target_teams_distribute,20
NEEDS_REVIEW,loop,20
NEEDS_REVIEW,target_teams_distribute_parallel_for,16
CHANGE_MAPPING,declare_target,15
CHANGE_OPERATOR,target_teams_distribute,13
REMOVE_CLAUSE,target,13
CHANGE_CONSTANT,target,13
NEEDS_REVIEW,target_update,12
CHANGE_MAPPING,target_data,12
NEEDS_REVIEW,target_simd,12
REMOVE_CONSTRUCT,target,12
NEEDS_REVIEW,declare_target,12
CHANGE_MAPPING,target_enter_data,11
CHANGE_OPERATOR,target,10
CHANGE_OPERATOR,loop_reduction,9
NEEDS_REVIEW,teams_loop,9
CHANGE_OPERATOR,atomic,9
CHANGE_MAPPING,target_teams_distribute_parallel_for,9
CHANGE_CONFIGURATION,allocate,9
CHANGE_CONSTANT,target_teams_distribute_parallel_for,9
CHANGE_LOOP_BOUND,assume,9
CHANGE_MAPPING,assume,8
REMOVE_DEPENDENCY,task,8
NEEDS_REVIEW,target_parallel_loop,8
REMOVE_CLAUSE,reduction,8
REMOVE_CLAUSE,loop,8
CHANGE_CONFIGURATION,target_teams_distribute,7
CHANGE_MAPPING,application_kernels,7
CHANGE_MAPPING,target_update,7
NEEDS_REVIEW,requires,6
NEEDS_REVIEW,task,6
CHANGE_MAPPING,target_enter_exit_data,6
CHANGE_CONFIGURATION,target_teams_distribute_parallel_for,6
CHANGE_CLAUSE,loop,6
CHANGE_ASSIGNMENT,task,6
NEEDS_REVIEW,metadirective,6
REMOVE_CONSTRUCT,requires,5
REMOVE_SYNCHRONIZATION,atomic,5
NEEDS_REVIEW,allocate,5
NEEDS_REVIEW,target_data,5
CHANGE_MAPPING,teams_loop,5
CHANGE_MAPPING,target_teams_distribute,5
REMOVE_CONSTRUCT,error,5
CHANGE_ASSIGNMENT,error,5
CHANGE_CLAUSE,taskloop,5
CHANGE_LOOP_BOUND,allocate,5
CHANGE_LOOP_BOUND,order,5
CHANGE_LOOP_BOUND,simd,5
REMOVE_CONSTRUCT,target_data,5
REMOVE_CONSTRUCT,parallel,5
CHANGE_CONFIGURATION,requires,4
CHANGE_CLAUSE,default,4
NEEDS_REVIEW,target_enter_exit_data,4
NEEDS_REVIEW,target_requires,4
REMOVE_CONSTRUCT,taskwait,4
REMOVE_SYNCHRONIZATION,task,4
REMOVE_DEPENDENCY,ordered,4
ORACLE_MUTATION,env_var,4
CHANGE_RUNTIME_CALL,env_var,4
CHANGE_OPERATOR,target_update,4
CHANGE_LOOP_BOUND,taskgraph,4
CHANGE_MAPPING,declare_mapper,4
CHANGE_MAPPING,order,4
CHANGE_CONSTANT,target_update,4
REMOVE_CLAUSE,teams_loop,3
REMOVE_SYNCHRONIZATION,taskwait,3
CHANGE_CONSTANT,declare_target,3
CHANGE_CONSTANT,target_data,3
CHANGE_CONFIGURATION,target_enter_data,3
CHANGE_CONFIGURATION,teams,3
CHANGE_CONFIGURATION,task,3
NEEDS_REVIEW,master_taskloop_simd,3
NEEDS_REVIEW,master_taskloop,3
NEEDS_REVIEW,program_control,3
NEEDS_REVIEW,target_enter_data,3
CHANGE_OPERATOR,loop,3
REMOVE_SYNCHRONIZATION,target_teams_distribute,3
REMOVE_SYNCHRONIZATION,taskloop,3
REMOVE_CLAUSE,task,3
REMOVE_CONSTRUCT,declare_target,3
CHANGE_LOOP_BOUND,scope,3
CHANGE_LOOP_BOUND,loop,3
CHANGE_ASSIGNMENT,parallel,3
CHANGE_ASSIGNMENT,loop,3
CHANGE_MAPPING,metadirective,3
CHANGE_LOOP_BOUND,taskloop,2
CHANGE_MAPPING,program_control,2
CHANGE_LOOP_BOUND,fuse,2
CHANGE_LOOP_BOUND,teams,2
CHANGE_CONFIGURATION,tile,2
CHANGE_MAPPING,allocate,2
CHANGE_CLAUSE,declare_variant,2
REMOVE_DEPENDENCY,depend,2
REMOVE_CONSTRUCT,task,2
REMOVE_SYNCHRONIZATION,parallel,2
REMOVE_CONSTRUCT,declare_mapper,2
REMOVE_CLAUSE,parallel_master_taskloop_simd,2
REMOVE_CLAUSE,default,2
REMOVE_CLAUSE,taskloop,2
REMOVE_SYNCHRONIZATION,masked,2
REMOVE_CONSTRUCT,scope,2
REMOVE_CONSTRUCT,interop,2
REMOVE_CONSTRUCT,depend,2
REMOVE_CLAUSE,scope,2
CHANGE_CLAUSE,task,2
CHANGE_CONDITION,assume,2
CHANGE_ASSIGNMENT,fuse,2
CHANGE_ASSIGNMENT,dispatch,2
CHANGE_CONFIGURATION,atomic,2
CHANGE_CONFIGURATION,target_enter_exit_data,2
CHANGE_LOOP_BOUND,declare_mapper,2
