mutation_type,omp_construct,count
NEEDS_REVIEW,target_mapping,211
CHANGE_MAPPING,target_mapping,96
CHANGE_CONFIGURATION,target_mapping,51
CHANGE_LOOP_BOUND,loop,38
REMOVE_CLAUSE,taskloop,38
CHANGE_CONSTANT,target_mapping,36
CHANGE_OPERATOR,target_mapping,34
CHANGE_MAPPING,loop,31
REMOVE_CONSTRUCT,target_mapping,28
NEEDS_REVIEW,loop,17
CHANGE_OPERATOR,loop,14
REMOVE_CLAUSE,target_mapping,14
REMOVE_DEPENDENCY,task,11
CHANGE_ASSIGNMENT,loop,9
CHANGE_OPERATOR,atomic,9
REMOVE_SYNCHRONIZATION,target_mapping,8
NEEDS_REVIEW,metadirective,7
CHANGE_CLAUSE,loop,7
CHANGE_MAPPING,runtime_api,6
REMOVE_CONSTRUCT,error,6
REMOVE_SYNCHRONIZATION,scope,6
REMOVE_SYNCHRONIZATION,atomic,6
NEEDS_REVIEW,atomic,6
CHANGE_ASSIGNMENT,error,5
CHANGE_MAPPING,declare_mapper,5
CHANGE_LOOP_BOUND,simd,5
NEEDS_REVIEW,taskloop_simd,4
NEEDS_REVIEW,task,4
NEEDS_REVIEW,allocator,4
NEEDS_REVIEW,runtime_api,4
CHANGE_CONFIGURATION,teams,4
CHANGE_MAPPING,application_kernels,4
CHANGE_CLAUSE,taskloop,4
CHANGE_CONFIGURATION,allocator,4
CHANGE_CLAUSE,default,4
CHANGE_ASSIGNMENT,fuse,4
REMOVE_CONSTRUCT,taskwait,4
REMOVE_DEPENDENCY,ordered,4
REMOVE_SYNCHRONIZATION,task,4
REMOVE_CLAUSE,task,3
ORACLE_MUTATION,runtime_api,3
REMOVE_SYNCHRONIZATION,parallel,3
REMOVE_CONSTRUCT,parallel_master_taskloop,3
REMOVE_SYNCHRONIZATION,taskwait,3
CHANGE_CONFIGURATION,atomic,3
CHANGE_MAPPING,metadirective,3
REMOVE_CLAUSE,scope,3
NEEDS_REVIEW,taskloop,3
CHANGE_CONFIGURATION,task,3
CHANGE_ASSIGNMENT,parallel,3
CHANGE_CONFIGURATION,declare_mapper,2
CHANGE_CONFIGURATION,loop,2
CHANGE_ASSIGNMENT,declare_variant,2
CHANGE_ASSIGNMENT,task,2
CHANGE_CONFIGURATION,tile,2
CHANGE_CONSTANT,loop,2
REMOVE_SYNCHRONIZATION,masked,2
REMOVE_DEPENDENCY,target_mapping,2
REMOVE_CONSTRUCT,depend,2
REMOVE_CLAUSE,default,2
REMOVE_CONSTRUCT,parallel,2
REMOVE_CONSTRUCT,task,2
REMOVE_CONSTRUCT,declare_mapper,2
CHANGE_CLAUSE,modifiers,2
CHANGE_CONDITION,task,2
CHANGE_CLAUSE,task,2
ORACLE_MUTATION,teams,2
REMOVE_CLAUSE,parallel_master_taskloop_simd,2
CHANGE_RUNTIME_CALL,runtime_api,2
REMOVE_CLAUSE,loop,2
CHANGE_RUNTIME_CALL,teams,2
NEEDS_REVIEW,declare_variant,2
CHANGE_CLAUSE,scope,2
CHANGE_CONDITION,assume,2
CHANGE_CLAUSE,declare_variant,2
CHANGE_CLAUSE,parallel,1
CHANGE_ASSIGNMENT,assume,1
CHANGE_ASSIGNMENT,dispatch,1
CHANGE_ASSIGNMENT,tile,1
CHANGE_LOOP_BOUND,parallel_for,1
CHANGE_CONFIGURATION,masked,1
CHANGE_CONFIGURATION,taskloop,1
CHANGE_CONFIGURATION,application_kernels,1
CHANGE_CONFIGURATION,parallel,1
CHANGE_CLAUSE,parallel_master,1
CHANGE_CLAUSE,teams,1
CHANGE_CONDITION,parallel_for,1
CHANGE_CONDITION,taskloop,1
CHANGE_OPERATOR,application_kernels,1
CHANGE_OPERATOR,allocator,1
CHANGE_MAPPING,task,1
CHANGE_MAPPING,offloading_success.c,1
CHANGE_LOOP_BOUND,teams,1
CHANGE_LOOP_BOUND,target_mapping,1
CHANGE_CONSTANT,teams,1
NEEDS_REVIEW,taskgraph,1
CHANGE_SCAN,scan,1
CHANGE_VARIABLE,target_mapping,1
CHANGE_OPERATOR,taskloop,1
CHANGE_OPERATOR,taskgroup,1
NEEDS_REVIEW,depend,1
NEEDS_REVIEW,declare_mapper,1
NEEDS_REVIEW,offloading_success.c,1
NEEDS_REVIEW,parallel_master_taskloop,1
REMOVE_CLAUSE,masked,1
REMOVE_CLAUSE,declare_variant,1
REMOVE_CONSTRUCT,taskloop_simd,1
REMOVE_CONSTRUCT,scope,1
REMOVE_CONSTRUCT,default,1
REMOVE_CONSTRUCT,dispatch,1
REMOVE_CONSTRUCT,loop,1
REMOVE_CONSTRUCT,masked,1
REMOVE_CONSTRUCT,declare_variant,1
REMOVE_CONSTRUCT,taskgraph,1
REMOVE_CONSTRUCT,runtime_api,1
REMOVE_DEPENDENCY,depend,1
REMOVE_STATEMENT,task,1
REMOVE_STATEMENT,target_mapping,1
REMOVE_DEPENDENCY,taskgraph,1
REMOVE_SYNCHRONIZATION,dispatch,1
