omp_construct,bug_omp_concept,count
target_mapping,general_code,266
target_mapping,mapping,138
loop,loop,39
taskloop,reduction,38
loop,mapping,32
loop,general_code,30
target_mapping,data_sharing,22
target_mapping,dependency,17
atomic,general_code,14
target_mapping,configuration,11
error,general_code,11
target_mapping,runtime_api,9
teams,configuration,9
atomic,atomic,8
task,general_code,8
target_mapping,atomic,8
default,data_sharing,7
loop,bind,7
runtime_api,runtime_api,7
task,dependency,7
taskwait,dependency,7
target_mapping,allocator,7
loop,reduction_operator,7
scope,atomic,6
runtime_api,mapping,6
declare_mapper,mapping,6
declare_variant,variant_selector,6
task,data_sharing,6
task,reduction,6
scope,data_sharing,5
taskloop,loop,5
simd,general_code,5
metadirective,general_code,5
declare_mapper,general_code,4
allocator,general_code,4
allocator,data_sharing,4
ordered,dependency,4
taskloop,data_sharing,4
metadirective,mapping,4
application_kernels,mapping,4
depend,dependency,4
fuse,general_code,4
loop,loop_body,3
masked,general_code,3
assume,general_code,3
loop,data_sharing,3
parallel,atomic,3
parallel_master_taskloop,general_code,3
task,taskwait,3
taskloop_simd,loop,3
target_mapping,reduction,2
masked,atomic,2
dispatch,general_code,2
loop,reduction,2
atomic,configuration,2
target_mapping,loop,2
taskloop_simd,general_code,2
tile,general_code,2
declare_variant,dispatch,2
parallel_master_taskloop_simd,master,2
modifiers,data_sharing,2
parallel,general_code,2
parallel,message_or_severity,2
runtime_api,general_code,2
task,mapping,2
application_kernels,allocator,1
dispatch,dispatch,1
application_kernels,reduction,1
allocator,allocator,1
parallel,severity,1
offloading_success.c,mapping,1
offloading_success.c,runtime_api,1
parallel,configuration,1
parallel,loop_body,1
parallel_master,data_sharing,1
parallel_for,data_sharing,1
parallel_for,loop_condition,1
metadirective,runtime_api,1
scope,reduction,1
parallel_master_taskloop,data_sharing,1
runtime_api,data_sharing,1
scan,scan,1
task,task_if,1
task,task_final,1
task,runtime_api,1
target_mapping,variant_selector,1
taskloop,general_code,1
taskgraph,mapping,1
taskgraph,taskgraph,1
taskgroup,general_code,1
taskgraph,general_code,1
teams,data_sharing,1
teams,general_code,1
tile,loop_body,1
