omp_construct,category,count
target_mapping,target,161
target_mapping,target_teams_distribute,72
target_mapping,target_teams_distribute_parallel_for,41
target_mapping,declare_target,33
task,task,31
target_mapping,target_data,28
target_mapping,target_update,25
loop,loop,22
taskloop,target_teams_distribute,17
loop,assume,17
atomic,atomic,17
target_mapping,loop,16
target_mapping,target_enter_data,15
target_mapping,requires,15
target_mapping,target_enter_exit_data,14
target_mapping,target_simd,12
loop,order,11
taskloop,taskloop,10
error,error,10
loop,teams_loop,10
parallel,parallel,9
loop,target_parallel_loop,9
target_mapping,allocate,9
loop,loop_reduction,9
taskloop,reduction,8
allocator,allocate,8
metadirective,metadirective,8
taskloop,loop,8
taskwait,taskwait,7
default,default,7
declare_variant,declare_variant,7
target_mapping,teams_loop,7
declare_mapper,declare_mapper,7
target_mapping,application_kernels,6
application_kernels,application_kernels,6
loop,allocate,5
atomic,target_requires,5
simd,simd,5
scope,scope,5
masked,masked,5
runtime_api,env_var,4
loop,task,4
loop,taskgraph,4
target_mapping,taskloop,4
teams,teams,4
ordered,ordered,4
loop,scope,4
depend,depend,4
loop,target,4
teams,env_var,4
target_mapping,target_parallel_loop,4
runtime_api,runtime_calls,4
runtime_api,program_control,3
teams,runtime_calls,3
tile,tile,3
target_mapping,interop,3
target_mapping,program_control,3
taskloop_simd,order,3
taskgraph,taskgraph,3
dispatch,dispatch,3
parallel_master_taskloop,parallel,3
assume,assume,3
taskloop_simd,master_taskloop_simd,2
loop,declare_mapper,2
loop,fuse,2
fuse,fuse,2
loop,declare_variant,2
loop,target_enter_data,2
taskloop,target,2
target_mapping,depend,2
target_mapping,master_taskloop,2
target_mapping,task,2
taskloop,master_taskloop,2
declare_mapper,target_update,2
loop,taskloop,2
parallel_for,parallel_for,2
loop,target_simd,2
loop,target_teams_distribute,2
modifiers,modifiers,2
runtime_api,target_simd,2
offloading_success.c,offloading_success.c,2
parallel_master_taskloop_simd,parallel_master_taskloop_simd,2
allocator,target,1
error,scope,1
declare_variant,dispatch,1
fuse,modifiers,1
declare_mapper,requires,1
atomic,target_teams_distribute_parallel_for_simd,1
atomic,declare_target,1
loop,tile,1
metadirective,allocate,1
loop,target_teams_distribute_parallel_for,1
loop,target_update,1
loop,target_teams_distribute_parallel_for_simd,1
fuse,map-type_modifier,1
loop,default,1
loop,declare_target,1
loop,master_taskloop_simd,1
loop,metadirective,1
parallel_master,parallel_master,1
parallel_master_taskloop,parallel_master_taskloop,1
metadirective,target,1
parallel,target_teams_distribute,1
loop,teams,1
loop,taskwait,1
target_mapping,parallel_master_taskloop,1
target_mapping,parallel_master,1
scope,target_teams_distribute,1
scope,parallel_for_simd,1
scope,modifiers,1
scope,target_teams_distribute_parallel_for_simd,1
scope,taskloop,1
scope,taskgraph,1
scope,task,1
target_mapping,declare_mapper,1
runtime_api,target_teams_distribute,1
scan,scan,1
target_mapping,parallel_master_taskloop_simd,1
target_mapping,memory_routines,1
target_mapping,master_taskloop_simd,1
target_mapping,map-type_modifier,1
runtime_api,teams_loop,1
runtime_api,target_teams_distribute_parallel_for,1
task,taskloop_simd,1
task,taskloop,1
task,taskgroup,1
task,target,1
target_mapping,taskloop_simd,1
target_mapping,teams,1
taskgroup,taskgroup,1
taskloop,teams_loop,1
