openmp_version,mutation_type,count
5.0,NEEDS_REVIEW,126
4.5,NEEDS_REVIEW,86
4.5,CHANGE_MAPPING,67
5.0,REMOVE_CLAUSE,42
5.0,CHANGE_MAPPING,40
4.5,CHANGE_CONFIGURATION,31
5.1,CHANGE_LOOP_BOUND,28
6.0,NEEDS_REVIEW,28
5.0,CHANGE_CONFIGURATION,25
4.5,CHANGE_OPERATOR,23
5.0,CHANGE_OPERATOR,23
5.1,CHANGE_MAPPING,22
5.1,REMOVE_CONSTRUCT,22
5.1,NEEDS_REVIEW,20
4.5,CHANGE_CONSTANT,19
5.0,REMOVE_CONSTRUCT,18
5.1,CHANGE_CONFIGURATION,17
6.0,CHANGE_ASSIGNMENT,14
5.1,CHANGE_ASSIGNMENT,14
4.5,REMOVE_CLAUSE,13
5.1,CHANGE_OPERATOR,13
5.2,CHANGE_MAPPING,11
5.0,CHANGE_CONSTANT,10
5.0,REMOVE_SYNCHRONIZATION,10
6.0,REMOVE_CONSTRUCT,10
5.0,CHANGE_CLAUSE,9
5.0,REMOVE_DEPENDENCY,9
6.0,REMOVE_SYNCHRONIZATION,8
5.0,CHANGE_LOOP_BOUND,8
5.1,CHANGE_CONSTANT,8
5.1,REMOVE_SYNCHRONIZATION,8
5.1,REMOVE_CLAUSE,7
4.5,REMOVE_SYNCHRONIZATION,7
6.0,CHANGE_MAPPING,7
5.2,NEEDS_REVIEW,7
6.0,CHANGE_LOOP_BOUND,7
5.1,CHANGE_CLAUSE,6
6.0,CHANGE_CLAUSE,5
5.1,ORACLE_MUTATION,5
4.5,REMOVE_CONSTRUCT,5
4.5,CHANGE_CLAUSE,5
5.1,CHANGE_RUNTIME_CALL,4
5.2,REMOVE_DEPENDENCY,4
6.0,REMOVE_DEPENDENCY,4
4.5,CHANGE_CONDITION,3
6.0,REMOVE_CLAUSE,3
5.2,REMOVE_CONSTRUCT,3
6.0,CHANGE_CONDITION,2
6.0,CHANGE_CONFIGURATION,2
4.5,REMOVE_STATEMENT,2
6.0,CHANGE_OPERATOR,2
5.1,REMOVE_DEPENDENCY,2
5.2,CHANGE_LOOP_BOUND,2
5.0,CHANGE_SCAN,1
5.0,CHANGE_CONDITION,1
5.0,CHANGE_VARIABLE,1
4.5,CHANGE_LOOP_BOUND,1
5.2,CHANGE_CONSTANT,1
5.2,CHANGE_CLAUSE,1
6.0,CHANGE_CONSTANT,1
5.2,REMOVE_CLAUSE,1
