source_dir,count
tests/5.0/target,76
tests/4.5/target_teams_distribute,69
tests/5.0/loop,49
tests/4.5/target_teams_distribute_parallel_for,41
tests/6.0/target,39
tests/4.5/target,32
tests/5.0/target_teams_distribute,25
tests/4.5/target_data,24
tests/5.1/target,23
tests/5.0/teams_loop,19
tests/6.0/task,17
tests/5.1/assume,16
tests/5.1/allocate,16
tests/5.0/declare_target,16
tests/5.0/requires,14
tests/5.1/order,14
tests/4.5/target_enter_data,14
tests/4.5/target_enter_exit_data,14
tests/5.0/target_parallel_loop,13
tests/5.0/task,13
tests/4.5/target_update,12
tests/4.5/taskloop,12
tests/4.5/target_simd,12
tests/4.5/application_kernels,12
tests/5.0/target_update,12
tests/5.1/atomic,12
tests/5.1/error,10
tests/4.5/task,10
tests/6.0/parallel,9
tests/6.0/taskgraph,8
tests/5.2/declare_target,8
tests/5.1/scope,8
tests/5.1/env_var,8
tests/5.1/default,8
tests/4.5/declare_target,8
tests/5.2/declare_mapper,7
tests/5.1/depend,6
tests/5.0/taskloop_simd,6
tests/5.1/loop,6
tests/5.0/program_control,6
tests/5.1/declare_variant,6
tests/5.0/atomic,5
tests/5.1/metadirective,5
tests/5.0/target_requires,5
tests/5.0/taskloop,5
tests/5.1/masked,5
tests/6.0/fuse,4
tests/5.0/master_taskloop_simd,4
tests/5.0/master_taskloop,4
tests/5.2/ordered,4
tests/6.0/assume,4
tests/6.0/modifiers,4
tests/5.1/target_update,4
tests/5.1/taskwait,4
tests/5.0/allocate,4
tests/5.0/parallel_master_taskloop,4
tests/5.0/target_simd,4
tests/5.0/target_data,4
tests/5.1/dispatch,4
tests/5.0/taskwait,4
tests/5.1/taskloop,4
tests/5.1/runtime_calls,4
tests/5.1/tile,4
tests/5.0/declare_variant,3
tests/6.0/declare_target,3
tests/6.0/allocate,3
tests/5.0/taskgroup,3
tests/5.0/teams,3
tests/5.0/declare_mapper,3
tests/5.0/simd,3
tests/5.0/parallel_master,3
tests/5.0/parallel_master_taskloop_simd,3
tests/5.2/target_enter_data,3
tests/5.2/runtime_calls,3
tests/5.1/teams,3
tests/5.1/interop,3
tests/5.0/target_teams_distribute_parallel_for_simd,3
tests/5.2/metadirective,3
tests/5.0/parallel_for,2
tests/4.5/offloading_success.c,2
tests/6.0/map-type_modifier,2
tests/5.1/requires,2
tests/5.2/scope,2
tests/5.0/target_teams_distribute_parallel_for,2
tests/5.0/parallel_for_simd,1
tests/5.0/metadirective,1
tests/5.0/scan,1
tests/5.1/memory_routines,1
