source_dir,mutation_type,count
tests/4.5/target_teams_distribute,NEEDS_REVIEW,26
tests/5.0/target,NEEDS_REVIEW,25
tests/6.0/target,NEEDS_REVIEW,24
tests/5.0/loop,NEEDS_REVIEW,20
tests/5.0/target_teams_distribute,NEEDS_REVIEW,17
tests/4.5/target_teams_distribute_parallel_for,NEEDS_REVIEW,15
tests/5.0/target,REMOVE_CLAUSE,13
tests/5.0/target,CHANGE_MAPPING,13
tests/4.5/target_teams_distribute,CHANGE_OPERATOR,13
tests/4.5/target_teams_distribute,REMOVE_CLAUSE,12
tests/5.0/loop,CHANGE_OPERATOR,12
tests/5.0/target,CHANGE_CONFIGURATION,12
tests/4.5/target_data,CHANGE_MAPPING,12
tests/5.0/teams_loop,NEEDS_REVIEW,9
tests/4.5/target_enter_data,CHANGE_MAPPING,9
tests/4.5/target_teams_distribute_parallel_for,CHANGE_CONSTANT,9
tests/4.5/target,CHANGE_MAPPING,9
tests/4.5/target,NEEDS_REVIEW,9
tests/5.1/atomic,CHANGE_OPERATOR,9
tests/5.1/assume,CHANGE_LOOP_BOUND,8
tests/5.0/loop,REMOVE_CLAUSE,8
tests/4.5/target_update,NEEDS_REVIEW,8
tests/4.5/target_simd,NEEDS_REVIEW,8
tests/4.5/target_teams_distribute_parallel_for,CHANGE_MAPPING,8
tests/5.1/assume,CHANGE_MAPPING,8
tests/5.0/target_teams_distribute,REMOVE_CLAUSE,8
tests/5.0/target_parallel_loop,NEEDS_REVIEW,8
tests/4.5/application_kernels,CHANGE_MAPPING,7
tests/4.5/target_teams_distribute,CHANGE_CONFIGURATION,7
tests/5.1/allocate,CHANGE_CONFIGURATION,7
tests/5.1/target,NEEDS_REVIEW,7
tests/4.5/target,CHANGE_CONFIGURATION,7
tests/6.0/target,REMOVE_CONSTRUCT,7
tests/4.5/target_enter_exit_data,CHANGE_MAPPING,6
tests/5.0/requires,NEEDS_REVIEW,6
tests/5.1/target,CHANGE_CONSTANT,6
tests/5.0/declare_target,CHANGE_MAPPING,6
tests/6.0/task,CHANGE_ASSIGNMENT,6
tests/5.0/loop,CHANGE_CLAUSE,6
tests/4.5/target_teams_distribute_parallel_for,CHANGE_CONFIGURATION,6
tests/5.1/order,CHANGE_LOOP_BOUND,5
tests/4.5/target_data,NEEDS_REVIEW,5
tests/5.2/declare_target,CHANGE_MAPPING,5
tests/5.1/error,CHANGE_ASSIGNMENT,5
tests/5.0/teams_loop,CHANGE_MAPPING,5
tests/5.1/allocate,CHANGE_LOOP_BOUND,5
tests/5.1/error,REMOVE_CONSTRUCT,5
tests/4.5/target_teams_distribute,CHANGE_MAPPING,5
tests/4.5/taskloop,CHANGE_CLAUSE,5
tests/5.0/task,REMOVE_DEPENDENCY,5
tests/5.0/declare_target,NEEDS_REVIEW,5
tests/6.0/target,CHANGE_MAPPING,5
tests/4.5/declare_target,CHANGE_MAPPING,4
tests/6.0/taskgraph,CHANGE_LOOP_BOUND,4
tests/5.0/target_update,CHANGE_MAPPING,4
tests/5.0/target,CHANGE_OPERATOR,4
tests/5.0/target,CHANGE_CONSTANT,4
tests/5.0/requires,REMOVE_CONSTRUCT,4
tests/5.0/requires,CHANGE_CONFIGURATION,4
tests/5.0/target_requires,NEEDS_REVIEW,4
tests/5.0/target_simd,NEEDS_REVIEW,4
tests/5.2/ordered,REMOVE_DEPENDENCY,4
tests/5.1/order,CHANGE_MAPPING,4
tests/5.1/env_var,ORACLE_MUTATION,4
tests/5.1/env_var,CHANGE_RUNTIME_CALL,4
tests/5.1/metadirective,NEEDS_REVIEW,4
tests/5.1/default,CHANGE_CLAUSE,4
tests/5.1/target,CHANGE_MAPPING,4
tests/4.5/target_enter_exit_data,NEEDS_REVIEW,4
tests/4.5/task,CHANGE_CONFIGURATION,3
tests/4.5/target_update,CHANGE_MAPPING,3
tests/5.0/task,NEEDS_REVIEW,3
tests/5.0/task,REMOVE_CONSTRUCT,3
tests/5.0/target_update,CHANGE_OPERATOR,3
tests/4.5/task,NEEDS_REVIEW,3
tests/4.5/taskloop,REMOVE_SYNCHRONIZATION,3
tests/5.0/simd,CHANGE_LOOP_BOUND,3
tests/5.0/master_taskloop_simd,NEEDS_REVIEW,3
tests/5.0/atomic,REMOVE_SYNCHRONIZATION,3
tests/6.0/parallel,CHANGE_ASSIGNMENT,3
tests/5.2/declare_mapper,CHANGE_MAPPING,3
tests/4.5/target_data,REMOVE_CONSTRUCT,3
tests/5.1/target,REMOVE_CONSTRUCT,3
tests/4.5/target_teams_distribute,REMOVE_SYNCHRONIZATION,3
tests/5.0/teams_loop,REMOVE_CLAUSE,3
tests/5.0/taskloop,REMOVE_CLAUSE,3
tests/5.1/teams,CHANGE_CONFIGURATION,3
tests/4.5/target_enter_data,CHANGE_CONFIGURATION,3
tests/5.1/loop,CHANGE_ASSIGNMENT,3
tests/5.1/loop,CHANGE_LOOP_BOUND,3
tests/5.1/scope,CHANGE_LOOP_BOUND,3
tests/5.0/program_control,NEEDS_REVIEW,3
tests/5.0/master_taskloop,NEEDS_REVIEW,3
tests/6.0/task,REMOVE_SYNCHRONIZATION,3
tests/4.5/declare_target,NEEDS_REVIEW,3
tests/4.5/target,CHANGE_OPERATOR,3
tests/6.0/task,REMOVE_CLAUSE,3
tests/6.0/task,REMOVE_DEPENDENCY,3
tests/4.5/target,CHANGE_CONSTANT,3
tests/5.0/taskloop_simd,CHANGE_LOOP_BOUND,2
tests/5.0/taskwait,REMOVE_CONSTRUCT,2
tests/5.1/runtime_calls,CHANGE_CONFIGURATION,2
tests/5.0/taskwait,REMOVE_SYNCHRONIZATION,2
tests/5.1/atomic,REMOVE_SYNCHRONIZATION,2
tests/5.1/declare_variant,CHANGE_CLAUSE,2
tests/5.0/taskloop_simd,REMOVE_CLAUSE,2
tests/5.0/teams,CHANGE_LOOP_BOUND,2
tests/5.1/interop,REMOVE_CONSTRUCT,2
tests/5.1/tile,CHANGE_CONFIGURATION,2
tests/5.1/taskwait,REMOVE_CONSTRUCT,2
tests/4.5/target_enter_data,NEEDS_REVIEW,2
tests/5.1/taskloop,CHANGE_LOOP_BOUND,2
tests/5.1/taskloop,REMOVE_CLAUSE,2
tests/5.1/allocate,NEEDS_REVIEW,2
tests/5.1/default,REMOVE_CLAUSE,2
tests/5.2/declare_mapper,CHANGE_LOOP_BOUND,2
tests/4.5/target_data,CHANGE_CONSTANT,2
tests/5.2/target_enter_data,CHANGE_MAPPING,2
tests/5.2/runtime_calls,NEEDS_REVIEW,2
tests/6.0/modifiers,CHANGE_CLAUSE,2
tests/6.0/fuse,CHANGE_ASSIGNMENT,2
tests/6.0/fuse,CHANGE_LOOP_BOUND,2
tests/6.0/declare_target,NEEDS_REVIEW,2
tests/5.2/declare_target,NEEDS_REVIEW,2
tests/6.0/assume,CHANGE_CONDITION,2
tests/5.1/target_update,NEEDS_REVIEW,2
tests/5.1/target,CHANGE_OPERATOR,2
tests/5.2/declare_mapper,REMOVE_CONSTRUCT,2
tests/5.2/metadirective,NEEDS_REVIEW,2
tests/4.5/target_enter_exit_data,CHANGE_CONFIGURATION,2
tests/5.1/scope,REMOVE_CONSTRUCT,2
tests/6.0/task,CHANGE_CLAUSE,2
tests/6.0/parallel,REMOVE_SYNCHRONIZATION,2
tests/4.5/target_teams_distribute,CHANGE_CONSTANT,2
tests/4.5/target_simd,CHANGE_MAPPING,2
tests/4.5/target_teams_distribute_parallel_for,CHANGE_OPERATOR,2
tests/5.1/depend,NEEDS_REVIEW,2
tests/5.1/depend,REMOVE_CONSTRUCT,2
tests/5.1/depend,REMOVE_DEPENDENCY,2
tests/5.1/masked,REMOVE_SYNCHRONIZATION,2
tests/5.1/dispatch,CHANGE_ASSIGNMENT,2
tests/5.1/order,CHANGE_ASSIGNMENT,2
tests/5.1/order,NEEDS_REVIEW,2
tests/5.0/parallel_master_taskloop,NEEDS_REVIEW,2
